slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
exasperate|exasperate|verb|ig-ZAS-puh-rayt · UK /ɪɡˈzɑː.spə.reɪt/ · US /ɪɡˈzæs.pə.reɪt/|C1|2.71|push someone's patience into open frustration|不是惹煩而已，而是煩到忍耐層被磨穿。|表示使人氣惱、惱火、極度不耐。|annoy|使煩躁|像鬧鐘不是響一次，而是隔幾分鐘就再敲一遍，直到神經整條繃起來。|重複失誤、流程卡關與人際衝突|exasperate the team|工作 / 團隊|exasperated by delays|專案 / 進度|exasperate the audience|媒體 / 表達|把耐心磨穿,鬧鐘一直反覆敲,annoy,frustration,delays,verb,exasperate
exonerate|exonerate|verb|ig-ZON-uh-rayt · UK /ɪɡˈzɒn.ə.reɪt/ · US /ɪɡˈzɑː.nə.reɪt/|C2|2.51|clear someone from blame with evidence|不是原諒，而是證明他本來就不該背這個鍋。|表示洗清罪責、證明無辜。|clear|洗清|像原本罩在頭上的陰影被掀開，光重新落回那個人身上。|法務調查、組織責任與新聞報導|exonerate the suspect|法務 / 調查|exonerate the team|管理 / 責任|fully exonerate|公共 / 評論|證明無辜,把陰影從頭上掀開,clear,justice,responsibility,verb,exonerate
expound|expound|verb|ik-SPOWND · UK /ɪkˈspaʊnd/ · US /ɪkˈspaʊnd/|C2|2.34|set out an idea at length and with structure|不是回答一句，而是把整套想法完整展開。|表示詳細闡述理論、觀點或系統。|explain|說明|像把折著的地圖一層層攤平，讓路線終於全都看見。|教學演講、研究論述與長篇說明|expound a theory|研究 / 學術|expound on the method|教學 / 技術|expound the idea|寫作 / 表達|完整展開,把折疊地圖慢慢攤平,explain,theory,teaching,verb,expound
extol|extol|verb|ik-STOHL · UK /ɪkˈstəʊl/ · US /ɪkˈstoʊl/|C2|2.39|praise something enthusiastically and at length|不是簡單稱讚，而是一路把它的好往上堆。|表示大力稱頌、盛讚。|celebrate|讚美|像一層層把花環掛上去，直到那個名字幾乎被光和掌聲包起來。|品牌宣傳、人物歌頌與文化評論|extol the virtues|評論 / 寫作|extol the product|商業 / 行銷|extol the tradition|文化 / 評論|盛讚稱頌,一層層掛上花環,celebrate,praise,marketing,verb,extol
extraneous|extraneous|adjective|ek-STRAY-nee-us · UK /ɪkˈstreɪ.ni.əs/ · US /ɪkˈstreɪ.ni.əs/|C1|2.74|coming from outside what is relevant or needed|不是多一點而已，而是多到和核心無關。|表示外來的、無關的、多餘的。|irrelevant|不相關|像機殼裡多塞了幾根不接任何端點的線，只會增加雜亂。|文件編輯、系統雜訊與會議聚焦|extraneous detail|寫作 / 編輯|extraneous variable|研究 / 分析|extraneous noise|工程 / 訊號|多餘無關,機殼裡多塞不接端點的線,irrelevant,editing,noise,adjective,extraneous
exuberant|exuberant|adjective|ig-ZOO-ber-uhnt · UK /ɪɡˈzjuː.bər.ənt/ · US /ɪɡˈzuː.bɚ.ənt/|C1|2.68|overflowing with lively energy or richness|不是開心而已，而是整個人或整個場景都滿到往外溢。|表示生氣勃勃、旺盛、洋溢著活力或豐富感。|energetic|有活力|像杯口已經滿了，泡泡還在一直冒上來。|人物狀態、色彩風格與市場氣氛|exuberant mood|情緒 / 日常|exuberant growth|自然 / 描寫|exuberant design|設計 / 視覺|活力滿溢,泡泡滿到還一直冒,energetic,style,mood,adjective,exuberant
fabricate|fabricate|verb|FAB-ri-kayt · UK /ˈfæb.rɪ.keɪt/ · US /ˈfæb.rə.keɪt/|C1|2.86|invent something false and present it as real|不是想像，而是編出來後拿去當真。|表示捏造故事、證據或理由。|invent|編造|像空白紙上硬畫出指紋，再說那一直都在。|媒體查核、法務調查與人際信任|fabricate evidence|法務 / 調查|fabricate a story|人際 / 對話|fabricated claim|媒體 / 查核|捏造當真,空白紙上硬畫出指紋,invent,evidence,trust,verb,fabricate
feign|feign|verb|FAYN · UK /feɪn/ · US /feɪn/|C2|2.54|pretend a feeling or condition you do not have|不是真的感受，而是演出來讓人相信。|表示假裝、佯裝某種情緒、病痛或興趣。|pretend|假裝|像臉上貼了一層臨時表情，底下真實的神色還藏著。|人際互動、敘事動作與策略應對|feign ignorance|人際 / 溝通|feign surprise|敘事 / 表演|feign illness|日常 / 情境|佯裝假裝,臉上貼了一層臨時表情,pretend,emotion,strategy,verb,feign
fervent|fervent|adjective|FUR-vuhnt · UK /ˈfɜː.vənt/ · US /ˈfɝː.vənt/|C1|2.66|intensely warm and wholehearted in feeling|不是熱情一下，而是心裡長時間都燒得很亮。|表示熱烈、真摯、充滿強烈情感的。|passionate|熱情的|像火爐不是閃一瞬，而是整夜都穩穩發熱。|政治支持、宗教信念與私人情感|fervent supporter|公共 / 政治|fervent hope|情感 / 敘事|fervent belief|宗教 / 思想|熱烈真摯,整夜都穩穩發熱,passionate,belief,support,adjective,fervent
foreshadow|foreshadow|verb|for-SHAD-oh · UK /fɔːˈʃæd.əʊ/ · US /fɔːrˈʃæd.oʊ/|C1|2.62|give an early hint of what is coming later|不是直接公布，而是先投下一道影子。|表示預示、暗示後續將發生的事。|hint|暗示|像午後的風先變了方向，晚點的暴雨已經在遠處集結。|敘事技巧、風險訊號與市場判讀|foreshadow the ending|寫作 / 敘事|foreshadow trouble|風險 / 觀察|foreshadow the change|市場 / 趨勢|先投下影子,風向先變了,hint,narrative,signals,verb,foreshadow
forfeit|forfeit|verb|FOR-fit · UK /ˈfɔː.fɪt/ · US /ˈfɔːr.fɪt/|C1|2.73|lose something because of a fault or choice|不是一般失去，而是因為違規、放棄或代價交換而失掉。|表示喪失權利、金錢、機會或資格。|lose|失去|像手上握著的票不是掉了，而是因為一步走錯被收回去。|合約處罰、比賽資格與代價選擇|forfeit the deposit|財務 / 合約|forfeit the game|競賽 / 規則|forfeit the chance|人生 / 選擇|因代價而喪失,票被收回去了,lose,penalty,opportunity,verb,forfeit
forsake|forsake|verb|for-SAYK · UK /fəˈseɪk/ · US /fɔːrˈseɪk/|C2|2.47|leave something behind despite a past bond|不是單純離開，而是離開一個你原本曾經依附或承諾過的東西。|表示拋棄、背離某人、原則或舊路。|abandon|遺棄|像把陪你走很遠的舊地圖折起來，決定再也不照它走。|價值轉向、關係決裂與敘事抉擇|forsake old habits|成長 / 改變|forsake the cause|公共 / 理念|forsake tradition|文化 / 選擇|背離舊依附,把舊地圖折起來,abandon,change,principle,verb,forsake
fortify|fortify|verb|FOR-tuh-fy · UK /ˈfɔː.tɪ.faɪ/ · US /ˈfɔːr.t̬ə.faɪ/|C1|2.74|make something stronger against future strain|不是修補一下，而是提前把它補到更能撐。|表示加強防護、鞏固身體、結構或立場。|strengthen|強化|像在暴風前先把窗框多釘幾道，讓風來時不至於整片掀掉。|安全防護、營養補充與論點鞏固|fortify the wall|工程 / 結構|fortify the argument|寫作 / 辯論|fortified with vitamins|健康 / 食品|提前補強,暴風前先多釘幾道,strengthen,protection,argument,verb,fortify
fracture|fracture|verb|FRAK-cher · UK /ˈfræk.tʃər/ · US /ˈfræk.tʃɚ/|C1|2.83|break a solid or relationship into cracks|不是完全粉碎，而是先裂開，內部連續性被打斷。|表示骨頭、材料或關係出現裂痕。|break|破裂|像玻璃上先出現一道白線，整塊還在，但完整性已經回不去。|醫療診斷、材料失效與關係失和|fracture the bone|健康 / 醫療|fracture the alliance|政治 / 關係|fractured surface|材料 / 工程|裂開出痕,玻璃出現第一道白線,break,materials,relationships,verb,fracture
fray|fray|verb|FRAY · UK /freɪ/ · US /freɪ/|C1|2.61|wear at the edges until threads come loose|不是突然斷，而是邊緣慢慢起毛、失去整齊。|表示布料、神經或關係逐漸磨損。|wear|磨損|像繩子兩端一點點散開，最先鬆的總是邊緣。|壓力累積、材料老化與關係緊張|nerves begin to fray|情緒 / 壓力|fray at the edges|材料 / 描寫|fraying patience|工作 / 團隊|邊緣起毛,繩子先從端點散開,wear,stress,materials,verb,fray
frenetic|frenetic|adjective|fruh-NET-ik · UK /frəˈnet.ɪk/ · US /frəˈnet̬.ɪk/|C1|2.58|wildly busy with unstable urgency|不是忙而已，而是忙到節奏都快失控。|表示狂亂、急促、忙亂而充滿壓迫感。|hectic|忙亂|像整排齒輪都在高速咬合，聲音大到讓人分不清哪個先壞。|市場波動、現場作業與情緒節奏|frenetic pace|工作 / 節奏|frenetic trading|市場 / 財務|frenetic atmosphere|活動 / 現場|忙到快失控,齒輪高速咬合不停,hectic,pace,market,adjective,frenetic
futile|futile|adjective|FYOO-tl · UK /ˈfjuː.taɪl/ · US /ˈfjuː.t̬əl/|C1|2.85|incapable of producing the needed result|不是難成功，而是做了也很難改變結果。|表示徒勞、無效、白費力氣。|useless|沒用的|像用小杯子去擋決堤的水，不是你不努力，而是量級根本不對。|資源判斷、策略調整與情緒挫敗|futile effort|工作 / 執行|futile attempt|評論 / 分析|futile resistance|衝突 / 歷史|徒勞無效,拿小杯子去擋決堤水,useless,effort,strategy,adjective,futile
gamut|gamut|noun|GAM-uht · UK /ˈɡæm.ət/ · US /ˈɡæm.ət/|C1|2.60|the full span from one end to the other|不是幾種，而是整條範圍都包進去。|表示完整範圍、全系列、各種層次。|range|範圍|像鋼琴鍵從最低到最高一整排都打開，沒有哪一段被省略。|產品分類、情緒光譜與能力範圍|run the gamut|寫作 / 表達|full gamut of services|營運 / 服務|gamut of emotions|情緒 / 描寫|完整光譜,鋼琴鍵一整排都打開,range,scope,services,noun,gamut
glib|glib|adjective|GLIB · UK /ɡlɪb/ · US /ɡlɪb/|C2|2.41|smoothly fluent without enough depth or sincerity|不是會說，而是說得太順，順到讓人懷疑是不是沒真正想過。|表示油滑、空泛、過度流利而不夠真誠。|slick|油滑|像桌面擦得很亮，卻亮到你懷疑底下是不是沒放真正的東西。|評論語氣、面試印象與公共回應|glib answer|面試 / 溝通|glib remark|評論 / 人際|glib reassurance|危機 / 回應|流利但空,桌面太亮反而可疑,slick,communication,sincerity,adjective,glib
gratify|gratify|verb|GRAT-uh-fy · UK /ˈɡræt.ɪ.faɪ/ · US /ˈɡræt̬.ə.faɪ/|C1|2.65|give satisfying pleasure or confirmation|不是只讓人開心，而是剛好滿足那個期待或欲望。|表示使滿足、使喜悅。|please|使愉快|像門鎖卡了很久終於順暢轉開，那種對上的感覺一下回來。|成就回饋、感官滿足與人際互動|gratify the audience|表演 / 娛樂|gratify curiosity|學習 / 探索|instantly gratify|產品 / 體驗|帶來滿足,卡住的鎖終於順開,please,satisfaction,experience,verb,gratify
gregarious|gregarious|adjective|gri-GAIR-ee-us · UK /ɡrɪˈɡeə.ri.əs/ · US /ɡrɪˈɡer.i.əs/|C1|2.63|naturally drawn to company and social exchange|不是不怕人，而是從和人互動裡得到能量。|表示合群、愛社交、喜歡與人往來。|sociable|善交際|像植物一靠近陽光就伸展，而他一走進人群就整個亮起來。|人物性格、團隊互動與社交場合|gregarious personality|人際 / 印象|gregarious host|接待 / 場合|gregarious child|家庭 / 教育|天生合群,進人群就亮起來,sociable,personality,social,adjective,gregarious
gullible|gullible|adjective|GUL-uh-bul · UK /ˈɡʌl.ə.bəl/ · US /ˈɡʌl.ə.bəl/|C1|2.67|too ready to believe without checking|不是善良而已，而是警覺門檻低到容易被帶走。|表示輕信、容易上當。|naive|天真|像門鎖還沒裝好，別人一推，整間屋子就先信了來客。|詐騙警示、人物描寫與媒體素養|gullible audience|媒體 / 素養|gullible investor|財務 / 風險|seem gullible|人物 / 印象|容易輕信,門鎖還沒裝好就先信了,naive,trust,scam,adjective,gullible
holistic|holistic|adjective|hoh-LIS-tik · UK /həʊˈlɪs.tɪk/ · US /hoʊˈlɪs.tɪk/|C1|2.78|seeing the whole system rather than isolated parts|不是每塊都不看，而是把零件之間的關係也一起看進去。|表示整體性的、從全局出發的。|comprehensive|全面的|像不是只修單一齒輪，而是先停下來看整台機器怎麼一起轉。|系統設計、健康照護與教育方法|holistic approach|管理 / 方法|holistic care|健康 / 醫療|holistic design|產品 / 系統|看整體關係,先看整台機器怎麼轉,comprehensive,systems,design,adjective,holistic
hubris|hubris|noun|HYOO-bris · UK /ˈhjuː.brɪs/ · US /ˈhjuː.brɪs/|C2|2.45|overbearing pride that blinds judgment|不是自信，而是高到開始看不見自己的限度。|表示傲慢、自大到近乎招禍。|arrogance|傲慢|像飛得太高的人誤把雲層當地面，以為再往上也不會有事。|領導失誤、歷史悲劇與評論語氣|hubris of power|政治 / 評論|corporate hubris|商業 / 評價|tragic hubris|文學 / 敘事|傲慢失明,把雲層當成地面,arrogance,power,tragedy,noun,hubris
illicit|illicit|adjective|ih-LIS-it · UK /ɪˈlɪs.ɪt/ · US /ɪˈlɪs.ɪt/|C1|2.74|forbidden by law or accepted rule|不是偷偷而已，而是本身就不被允許。|表示非法、不正當、違規。|illegal|非法|像後門不是剛好沒人看，而是從一開始就不該被打開。|法規說明、供應鏈風險與新聞報導|illicit trade|公共 / 法規|illicit payment|商務 / 合規|illicit access|系統 / 安全|非法違規,後門本來就不該開,illegal,compliance,security,adjective,illicit
immutable|immutable|adjective|ih-MYOO-tuh-bul · UK /ɪˈmjuː.tə.bəl/ · US /ɪˈmjuː.t̬ə.bəl/|C2|2.49|not subject to change once set|不是暫時穩定，而是設定後就不打算再動。|表示不可變更、固定不變。|fixed|固定|像石頭上刻下的刻痕，不像白板字一擦就能改。|程式設計、制度定義與哲學概念|immutable data|工程 / 程式|immutable rule|制度 / 定義|remain immutable|評論 / 哲學|不可變更,刻在石頭上的痕,fixed,data,principle,adjective,immutable
impasse|impasse|noun|IM-pas · UK /ˈɪm.pæs/ · US /ˈɪm.pæs/|C1|2.70|a deadlock where forward motion stops|不是慢下來，而是雙方或整件事卡到沒有出口。|表示僵局、死結，無法再進一步。|deadlock|僵局|像兩輛車在窄巷正面卡住，誰都過不去，也都不願先退。|談判停滯、專案阻塞與人際衝突|reach an impasse|談判 / 協商|budget impasse|公共 / 財務|at an impasse|工作 / 進度|卡到沒出口,窄巷裡兩車對住,deadlock,negotiation,blocker,noun,impasse
impede|impede|verb|im-PEED · UK /ɪmˈpiːd/ · US /ɪmˈpiːd/|C1|2.79|slow movement by putting drag in the way|不是完全阻止，而是讓前進變得很難。|表示妨礙、阻礙、拖慢進展。|hinder|妨礙|像鞋底黏到厚泥，不是不能走，但每一步都被拉住。|流程障礙、交通狀況與恢復過程|impede progress|專案 / 進度|impede recovery|健康 / 復原|impede traffic|交通 / 城市|拖慢前進,鞋底黏到厚泥,hinder,progress,recovery,verb,impede
imperil|imperil|verb|im-PAIR-uhl · UK /ɪmˈper.əl/ · US /ɪmˈper.əl/|C1|2.53|put something valuable in danger|不是已經毀掉，而是把它推到危險邊緣。|表示危及、使陷入危險。|endanger|危害|像把玻璃杯移到桌角，它還沒掉，但風險已經被放大。|安全評估、財務決策與關係維護|imperil the mission|工作 / 專案|imperil safety|工程 / 安全|imperil the relationship|人際 / 情感|推到危險邊緣,玻璃杯被移到桌角,endanger,safety,risk,verb,imperil
impinge|impinge|verb|im-PINJ · UK /ɪmˈpɪndʒ/ · US /ɪmˈpɪndʒ/|C2|2.40|press into another area and affect its freedom|不是單純接觸，而是伸進去碰到了原本不該被碰的邊界。|表示侵犯、影響、壓到某人的空間或權利。|encroach|侵占|像一堵牆慢慢往旁邊長，最後連鄰居窗戶的光也被擋掉。|權利界線、時間擠壓與政策外溢|impinge on privacy|法規 / 權利|impinge on time|工作 / 排程|impinge on autonomy|管理 / 組織|壓到別人邊界,牆長到擋住鄰居的光,encroach,privacy,boundary,verb,impinge
impute|impute|verb|im-PYOOT · UK /ɪmˈpjuːt/ · US /ɪmˈpjuːt/|C2|2.34|assign a cause, motive, or blame to someone|不是只是看到結果，而是把背後原因算到某人頭上。|表示歸罪、歸因、把動機或責任加諸某人。|attribute|歸因|像帳本上有一筆缺口，大家開始追著問這一筆到底記在誰名下。|責任判定、動機解讀與法務語境|impute motives|人際 / 解讀|impute blame|法務 / 判斷|impute intent|公共 / 評論|把原因算到誰頭上,帳本缺口要追名下,attribute,blame,motive,verb,impute
inane|inane|adjective|ih-NAYN · UK /ɪˈneɪn/ · US /ɪˈneɪn/|C2|2.35|empty of sense, value, or thought|不是簡單，而是空到幾乎沒有內容。|表示愚蠢、無意義、空洞。|silly|愚蠢|像盒子外面印得很滿，打開卻只剩一團沒用的泡棉。|評論語氣、聊天內容與媒體批評|inane comment|評論 / 對話|inane chatter|人際 / 場合|inane policy talk|公共 / 媒體|空洞無意義,盒子裡只剩泡棉,silly,commentary,media,adjective,inane
indict|indict|verb|in-DYTE · UK /ɪnˈdaɪt/ · US /ɪnˈdaɪt/|C2|2.61|formally charge with serious wrongdoing|不是一般指責，而是進入正式程序，準備追究。|表示起訴、控告，或在強烈語氣中把某現象視為有罪。|charge|指控|像檔案不是放進抽屜，而是被推上審判桌開始有後續。|法務程序、制度批判與新聞報導|indict the suspect|法務 / 調查|indict the system|評論 / 公共|indicted on charges|新聞 / 時事|正式起訴,檔案被推上審判桌,charge,law,accountability,verb,indict
indignant|indignant|adjective|in-DIG-nuhnt · UK /ɪnˈdɪɡ.nənt/ · US /ɪnˈdɪɡ.nənt/|C1|2.66|angry because something feels unjust or insulting|不是單純生氣，而是氣裡面帶著被冒犯和不公平感。|表示憤慨、不平地發怒。|angry|生氣|像胸口不是被點燃，而是被硬生生壓上了一塊不該承受的石頭。|抗議回應、人際受辱與評論語氣|indignant response|公共 / 回應|indignant at the remark|人際 / 對話|sound indignant|敘事 / 描寫|因不公平而怒,被壓上一塊不該承受的石頭,angry,justice,response,adjective,indignant
induce|induce|verb|in-DOOS · UK /ɪnˈdjuːs/ · US /ɪnˈduːs/|C1|2.98|bring about an effect or persuade toward it|不是直接發生，而是由某個因素把它引出來。|表示引起、促成某結果，或勸誘某人採取行動。|cause|造成|像按下一個開關，不是燈自己亮，而是某個動作把亮度叫出來。|醫療程序、結果因果與說服情境|induce sleep|健康 / 醫療|induce a response|工程 / 測試|induce someone to act|溝通 / 勸說|引出結果,按開關把亮度叫出來,cause,effect,persuasion,verb,induce
ineffable|ineffable|adjective|in-EF-uh-bul · UK /ɪnˈef.ə.bəl/ · US /ɪnˈef.ə.bəl/|C2|2.43|too profound or delicate to put into words|不是不知道怎麼說，而是說了也會失掉那個感覺。|表示難以言喻、無法充分用語言表達。|unspeakable|難以說出|像手心捧著一團薄霧，你越想抓緊，形狀越先散開。|情感描寫、藝術評論與宗教體驗|ineffable beauty|藝術 / 評論|ineffable sadness|情緒 / 敘事|ineffable sense of peace|心靈 / 描寫|難以言喻,越想抓緊越先散開,unspeakable,emotion,art,adjective,ineffable
inert|inert|adjective|in-URT · UK /ɪˈnɜːt/ · US /ɪˈnɝːt/|C1|2.74|lacking movement, reaction, or active force|不是安靜，而是幾乎完全不動、不起反應。|表示惰性的、靜止的、缺乏活性。|inactive|不活躍|像一顆按下去也不回彈的按鈕，表面在那裡，回應卻沒有來。|化學性質、組織狀態與人物描寫|inert material|工程 / 材料|inert response|組織 / 反應|remain inert|敘事 / 描寫|不動不反應,按下去也不回彈,inactive,materials,response,adjective,inert
