slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
altruistic|altruistic|adjective|al-troo-IS-tik · UK /ˌæl.truˈɪs.tɪk/ · US /ˌæl.truˈɪs.tɪk/|C2|2.52|guided by concern for others more than self|不是一般大方，而是把他人的利益放在很前面。|表示出於利他、為他人著想，而不是先算自己的得失。|generous|慷慨|像手裡只剩一把傘，自己淋雨也先把它遞出去。|志願服務、倫理選擇與團隊文化|altruistic motive|倫理 / 判斷|altruistic act|公共 / 社會|altruistic leadership|團隊 / 文化|利他導向,先想別人,generous,ethics,society,adjective,altruistic
amalgamate|amalgamate|verb|uh-MAL-guh-mayt · UK /əˈmæl.ɡə.meɪt/ · US /əˈmæl.ɡə.meɪt/|C2|2.41|fuse separate parts into one larger whole|不是並排放在一起，而是把原本分開的部分真正揉成一體。|表示合併、融合不同團體、資源或元素，使其成為整體。|combine|結合|像幾條金屬絲被加熱後熔成一塊，不再看得出原本各自的邊界。|組織整併、資料整合與風格融合|amalgamate the teams|組織 / 管理|amalgamate datasets|資料 / 工程|amalgamated style|設計 / 文化|融合成體,不再分開,combine,integration,organization,verb,amalgamate
ambivalent|ambivalent|adjective|am-BIV-uh-luhnt · UK /æmˈbɪv.ə.lənt/ · US /æmˈbɪv.ə.lənt/|C1|2.93|pulled in two directions at once|不是不知道，而是兩邊都各有吸引力或抗拒點，心裡拉扯。|表示對同一件事同時有正反兩種感受，難以爽快表態。|uncertain|不確定|像腳踩在岔路口的中間，兩邊都看得見，也都還放不下。|職涯選擇、人際關係與價值拉扯|feel ambivalent|情緒 / 日常|ambivalent response|溝通 / 回應|ambivalent about the change|工作 / 決策|兩面拉扯,難以爽快表態,uncertain,emotion,decision,adjective,ambivalent
ameliorate|ameliorate|verb|uh-MEEL-yuh-rayt · UK /əˈmiː.li.ə.reɪt/ · US /əˈmiː.li.ə.reɪt/|C2|2.39|make a bad condition somewhat better|不是徹底翻盤，而是把原本糟的情況往較可承受的方向拉回來。|表示改善不良情況、減輕問題，使其沒那麼嚴重。|improve|改善|像把漏雨的屋頂先補住最破的地方，還沒完美，但不再一直滴。|政策修正、系統優化與生活困境|ameliorate the damage|風險 / 修復|ameliorate conditions|公共 / 政策|ameliorate the strain|工作 / 壓力|讓情況好一些,從糟拉回,improve,policy,repair,verb,ameliorate
amenable|amenable|adjective|uh-MEE-nuh-bul · UK /əˈmiː.nə.bəl/ · US /əˈmiː.nə.bəl/|C1|2.81|open and responsive to suggestion or change|不是被迫配合，而是對調整、協商或新方案有接受空間。|表示願意聽取建議、可協商、容易被說服或調整。|willing|願意|像門沒有鎖死，你輕推一下，它就願意往另一個方向開。|協商態度、治療回應與策略調整|amenable to feedback|職場 / 回饋|amenable to change|管理 / 組織|amenable to treatment|醫療 / 健康|可協商可調整,沒有鎖死,willing,feedback,change,adjective,amenable
amicable|amicable|adjective|AM-ih-kuh-bul · UK /ˈæm.ɪ.kə.bəl/ · US /ˈæm.ɪ.kə.bəl/|C1|2.78|friendly without hostility especially after conflict|不是沒有分歧，而是即使立場不同，仍能平和處理。|表示關係或解決方式友善、和氣，沒有敵意。|friendly|友善|像桌上意見很多，但杯子始終沒有被摔碎，話還是能好好說。|衝突處理、合約結束與人際協調|amicable settlement|法務 / 協商|amicable split|人際 / 關係|amicable conversation|溝通 / 協作|和氣處理,沒有敵意,friendly,settlement,relationships,adjective,amicable
amiss|amiss|adjective|uh-MISS · UK /əˈmɪs/ · US /əˈmɪs/|C1|3.02|out of place or not quite right|不是災難級錯誤，而是你直覺先感到哪裡不太對。|表示有點不對勁、出差錯或不合適。|wrong|錯誤|像牆上的畫只歪了一點點，但你一進房就覺得視線卡住。|故障察覺、氣氛判讀與品質檢查|something is amiss|日常 / 判斷|seem amiss|品質 / 檢查|feel amiss|情緒 / 直覺|哪裡不對勁,視線先卡住,wrong,quality,intuition,adjective,amiss
ancillary|ancillary|adjective|AN-suh-ler-ee · UK /ænˈsɪl.ər.i/ · US /ˈæn.sə.ler.i/|C2|2.47|supporting the main thing from the side|不是核心主體，而是在旁邊補足、支撐主要任務。|表示附屬但有支援功能，協助主要事物運作。|secondary|次要|像主舞台旁邊那圈燈光，不是表演本身，卻讓整場看得見。|支援服務、附屬設備與文件體系|ancillary services|營運 / 服務|ancillary tools|工程 / 工具|ancillary document|文件 / 程序|附屬支援,在旁邊補足,secondary,services,tools,adjective,ancillary
annotate|annotate|verb|AN-uh-tayt · UK /ˈæn.ə.teɪt/ · US /ˈæn.ə.teɪt/|C1|2.67|add explanatory notes around the main text|不是單純劃線，而是把你的理解寫到文本旁邊。|表示在文件、程式或圖表上加註解、說明或標記。|highlight|標示重點|像在書頁邊緣點一盞小燈，提醒未來的自己這裡該多看一眼。|文件閱讀、程式維護與研究整理|annotate the code|工程 / 維護|annotate the article|閱讀 / 學習|annotate the diagram|研究 / 文件|加註說明,把理解寫旁邊,highlight,documentation,study,verb,annotate
antagonize|antagonize|verb|an-TAG-uh-nyz · UK /ænˈtæɡ.ə.naɪz/ · US /ænˈtæɡ.ə.naɪz/|C1|2.76|provoke resistance or hostility in someone|不是惹到一下，而是把對方推進對立或反感狀態。|表示激怒、招致敵意，讓他人開始反抗或不合作。|annoy|惹惱|像手指一直去戳同一塊瘀青，最後整個人都繃起來。|衝突升高、團隊關係與公共溝通|antagonize the team|職場 / 團隊|antagonize voters|政治 / 公共|antagonize the audience|媒體 / 表達|激起敵意,把人推到對立,annoy,conflict,communication,verb,antagonize
appraise|appraise|verb|uh-PRAYZ · UK /əˈpreɪz/ · US /əˈpreɪz/|C1|2.82|judge value or quality carefully|不是隨便看一眼，而是有根據地估量它到底值多少、好不好。|表示評估價值、品質或狀況，常帶有專業判斷。|assess|評估|像拿起一塊石頭不是先驚嘆，而是先看它的紋理、重量和真假。|資產估值、能力判斷與風險評估|appraise the property|財務 / 資產|appraise the risk|管理 / 風險|appraise performance|職場 / 評估|估量價值,有根據地看,assess,value,risk,verb,appraise
apprehend|apprehend|verb|ap-ri-HEND · UK /ˌæp.rɪˈhend/ · US /ˌæp.rəˈhend/|C2|2.78|grasp a difficult idea after uncertainty|不是只聽過，而是終於把複雜東西真正抓進腦中。|表示理解某個觀念、後果或模式，從模糊變成抓得住。|understand|理解|像手在霧裡摸索很久，最後終於碰到那個一直找不到的把手。|風險理解、系統分析與抽象學習|apprehend the implications|分析 / 判斷|apprehend the pattern|研究 / 觀察|apprehend the threat|風險 / 安全|終於抓住意思,從霧裡摸到把手,understand,analysis,learning,verb,apprehend
apropos|apropos|adjective|ap-ruh-POH · UK /ˌæp.rəˈpəʊ/ · US /ˌæp.rəˈpoʊ/|C2|2.37|fitting the point or moment exactly|不是勉強相關，而是剛好切中這個時機或話題。|表示恰當、切題、正合時宜。|relevant|相關|像桌上剛好缺那顆螺絲，而你手裡拿來的尺寸完全對上。|寫作轉折、會議回應與談話連結|apropos remark|溝通 / 會議|apropos example|教學 / 寫作|apropos timing|判斷 / 情境|切題剛好,時機完全對上,relevant,writing,timing,adjective,apropos
arbitrary|arbitrary|adjective|AR-bi-trer-ee · UK /ˈɑː.bɪ.trər.i/ · US /ˈɑːr.bə.trer.i/|C1|3.21|decided by will or chance instead of a clear rule|不是有原則的選擇，而是看誰說了算或隨手定一個。|表示武斷、任意，缺乏一致標準或合理依據。|random|隨機|像尺上沒有刻度，卻還硬要說這一刀就是正確位置。|制度公平、介面規則與決策品質|arbitrary rule|制度 / 規範|arbitrary limit|產品 / 介面|arbitrary decision|管理 / 決策|任意武斷,沒有清楚標準,random,rules,decision,adjective,arbitrary
ardent|ardent|adjective|AR-duhnt · UK /ˈɑː.dənt/ · US /ˈɑːr.dənt/|C1|2.75|intensely warm in feeling or support|不是一般喜歡，而是情感或支持力度都很熱。|表示熱切、熱情、真摯投入。|enthusiastic|熱情|像炭火不是閃一下，而是穩穩紅著，把整個爐心都烘熱。|理念支持、戀愛表達與學習投入|ardent supporter|公共 / 政治|ardent admirer|人際 / 情感|ardent interest|學習 / 興趣|熱切投入,穩穩發熱,enthusiastic,support,interest,adjective,ardent
arduous|arduous|adjective|AR-joo-us · UK /ˈɑː.dʒu.əs/ · US /ˈɑːr.dʒu.əs/|C1|2.83|demanding sustained effort over time|不是一時難，而是要長時間扛著重度努力往前走。|表示艱鉅、費力，需要耐力與持續投入。|difficult|困難|像背著裝滿工具的包走長上坡，不是衝一下，而是一路都重。|專案推進、訓練歷程與復原過程|arduous journey|成長 / 敘事|arduous task|工作 / 執行|arduous recovery|健康 / 復原|艱鉅費力,一路都重,difficult,effort,project,adjective,arduous
ascertain|ascertain|verb|as-er-TAYN · UK /ˌæs.əˈteɪn/ · US /ˌæs.ɚˈteɪn/|C1|2.92|find out with enough certainty to rely on it|不是大概猜到，而是查到可以放心拿來做判斷。|表示查明、弄清楚某件事，達到可依賴的確定程度。|verify|驗證|像黑暗中先摸索，再打開手電，終於看清那條線到底接到哪裡。|故障診斷、需求確認與法務調查|ascertain the cause|工程 / 除錯|ascertain the facts|法務 / 調查|ascertain the scope|專案 / 規劃|查明到可依賴,把線照清楚,verify,debugging,facts,verb,ascertain
ascribe|ascribe|verb|uh-SKRYB · UK /əˈskraɪb/ · US /əˈskraɪb/|C2|2.58|explain something by linking it to a cause or source|不是只描述現象，而是把它歸到某個原因、來源或動機上。|表示把結果、特質或責任歸因於某個來源。|attribute|歸因|像看到河面變色，不只說它變了，而是往上游找那一股染進來的水。|因果推論、評價判斷與歷史解釋|ascribe it to luck|判斷 / 評價|ascribe the change to policy|公共 / 分析|ascribe motives|人際 / 解讀|歸因到來源,往上游找原因,attribute,cause,analysis,verb,ascribe
assail|assail|verb|uh-SAYL · UK /əˈseɪl/ · US /əˈseɪl/|C2|2.69|attack with force physically or verbally|不是普通批評，而是成串地從各方向打過來。|表示猛烈攻擊、抨擊或襲擊。|attack|攻擊|像暴雨不是一滴一滴落，而是整片斜打到你身上。|公共批評、新聞壓力與敘事動作|assail the proposal|評論 / 公共|assailed by doubts|心理 / 情緒|assail the target|敘事 / 動作|猛烈抨擊,從各方向打來,attack,criticism,pressure,verb,assail
assiduous|assiduous|adjective|uh-SIJ-oo-us · UK /əˈsɪdʒ.u.əs/ · US /əˈsɪdʒ.u.əs/|C2|2.34|consistently diligent without slackening|不是偶爾很拼，而是長時間都細緻地把該做的事顧住。|表示勤勉不懈、持續而用心地投入。|hard-working|努力工作|像每天都同一時間澆水、修枝、看土，不靠靈感，也不偷懶。|研究訓練、工藝練習與長期專案|assiduous study|學習 / 研究|assiduous care|照護 / 醫療|assiduous effort|工作 / 執行|勤勉不懈,天天都顧住,hard-working,study,effort,adjective,assiduous
atone|atone|verb|uh-TOHN · UK /əˈtəʊn/ · US /əˈtoʊn/|C2|2.55|repair a moral wrong through action or sacrifice|不是說對不起就算，而是用後續行動把失衡慢慢補回來。|表示彌補過錯、贖罪，透過行動回應先前的錯誤。|apologize|道歉|像打翻的水不是拿嘴說乾了，而是自己拿布一點點擦回去。|道德修復、人際關係與敘事轉折|atone for the mistake|人際 / 修復|atone for past harm|倫理 / 反省|atone through service|敘事 / 成長|彌補過錯,用行動補回,apologize,repair,ethics,verb,atone
attrition|attrition|noun|uh-TRISH-un · UK /əˈtrɪʃ.ən/ · US /əˈtrɪʃ.ən/|C1|2.88|gradual wearing down through ongoing loss or pressure|不是突然崩掉，而是每天磨一點、少一點，最後整體變薄。|表示因持續流失、磨耗或壓力造成的逐步減損。|decline|下降|像繩子不是一下斷，而是每次摩擦都磨掉一絲，久了終究承不住。|人才流失、成本消耗與長期衝突|staff attrition|人資 / 組織|war of attrition|歷史 / 衝突|attrition rate|營運 / 指標|逐步磨損,每天少一點,decline,retention,wear,noun,attrition
auspicious|auspicious|adjective|aw-SPISH-us · UK /ɔːˈspɪʃ.əs/ · US /ɑːˈspɪʃ.əs/|C2|2.48|suggesting good prospects at the outset|不是已經成功，而是一開場就讓人覺得這是好兆頭。|表示吉利、順勢、有好前景的徵兆。|promising|有前景|像天剛亮就先透出一條金邊，事情還沒發生，但氣象已經不同。|專案起步、儀式感與市場觀察|auspicious start|專案 / 起步|auspicious sign|敘事 / 象徵|auspicious timing|商業 / 判斷|好兆頭,一開場就順,promising,start,sign,adjective,auspicious
autonomous|autonomous|adjective|aw-TON-uh-mus · UK /ɔːˈtɒn.ə.məs/ · US /ɑːˈtɑː.nə.məs/|C1|3.11|able to operate by its own rules or control|不是完全孤立，而是在沒有外部細節干預下也能自己運作。|表示自主的、自我管理的，或系統能獨立運行。|independent|獨立|像腳踏車放開輔助輪後，開始能靠自己的平衡往前走。|自治系統、團隊授權與車載技術|autonomous system|工程 / 系統|autonomous team|管理 / 團隊|autonomous vehicle|技術 / 產品|自主運作,放開輔助輪,independent,systems,teams,adjective,autonomous
avail|avail|verb|uh-VAYL · UK /əˈveɪl/ · US /əˈveɪl/|C2|2.40|be of practical use in changing the outcome|不是理論上有幫助，而是真的足以讓結果不一樣。|表示有實際用處、能起作用，常見於 to no avail。|help|幫上忙|像手邊工具看起來齊全，但真正轉不動那顆螺絲時，才知道它到底有沒有用。|努力成效、資源利用與正式書面語|to no avail|寫作 / 敘事|little avail|評論 / 分析|avail yourself of resources|正式 / 指引|實際起作用,真的幫上忙,help,effort,resources,verb,avail
avid|avid|adjective|AV-id · UK /ˈæv.ɪd/ · US /ˈæv.ɪd/|C1|2.89|strongly eager and hungry for more|不是有興趣而已，而是會主動追著資訊、活動或機會跑。|表示熱衷、渴求、非常感興趣。|interested|有興趣|像看到新書上架就立刻伸手，不是順便看，而是早就在等。|閱讀習慣、學習投入與收藏偏好|avid reader|閱讀 / 學習|avid fan|娛樂 / 社群|avid curiosity|研究 / 興趣|熱衷渴求,主動追著跑,interested,learning,interest,adjective,avid
banal|banal|adjective|buh-NAL · UK /bəˈnɑːl/ · US /bəˈnɑːl/|C2|2.52|so overused it has lost freshness|不是普通，而是因為講太多次，已經沒有力道也沒有新意。|表示陳腔濫調、平庸到乏味。|common|常見|像牆上貼滿同一句口號，字沒錯，但再也沒人會停下來看。|寫作判斷、評論語氣與創意工作|banal remark|寫作 / 評論|banal plot|影視 / 敘事|banal advice|人際 / 對話|陳腔濫調,講太多失去力道,common,writing,creativity,adjective,banal
barrage|barrage|noun|buh-RAHZH · UK /ˈbær.ɑːʒ/ · US /bəˈrɑːʒ/|C1|2.83|a rapid concentrated burst from many directions|不是零星幾下，而是一整排密集地同時打過來。|表示一連串密集的炮火、問題、批評或訊息轟炸。|stream|一串|像手機通知忽然一口氣震個不停，來不及看完第一則，第二十則又到了。|媒體壓力、問題攻勢與戰爭描寫|barrage of questions|會議 / 訪談|media barrage|新聞 / 公共|barrage of fire|戰爭 / 敘事|密集轟炸,一整排打來,stream,questions,media,noun,barrage
belie|belie|verb|bih-LYE · UK /bɪˈlaɪ/ · US /bɪˈlaɪ/|C2|2.43|give a false impression that hides the truth|不是直接說謊，而是表面看起來像 A，實際卻是 B。|表示某個外觀、語氣或數字掩蓋了真實情況。|hide|掩蓋|像平靜的湖面看不出底下暗流，其實一腳踩下去就會被帶走。|數據判讀、人物描寫與風險提示|belie the difficulty|分析 / 判斷|belie the tension|敘事 / 描寫|belie the data|評論 / 觀察|表象騙人,平靜底下有暗流,hide,appearance,data,verb,belie
bereft|bereft|adjective|bih-REFT · UK /bɪˈreft/ · US /bɪˈreft/|C2|2.46|left without something once depended on|不是短暫沒有，而是失去了原本很重要的依靠。|表示被奪走、失去依托，常帶有空缺與哀傷感。|deprived|被剝奪|像屋裡最穩定的那盞燈忽然熄掉，空間瞬間變得很大也很冷。|失落描寫、關係斷裂與資源剝奪|bereft of hope|情緒 / 敘事|bereft family|新聞 / 人際|bereft of support|組織 / 協作|失去依靠,那盞燈忽然熄掉,deprived,loss,support,adjective,bereft
blatant|blatant|adjective|BLAY-tnt · UK /ˈbleɪ.tənt/ · US /ˈbleɪ.tənt/|C1|3.07|offensively obvious and impossible to ignore|不是看得出來而已，而是明顯到近乎不把規則放在眼裡。|表示公然、顯而易見，且常帶有令人不快的程度。|obvious|明顯|像考卷上直接把答案寫在桌面上，根本不打算藏。|違規判斷、偏見批評與品質問題|blatant lie|評論 / 公共|blatant bias|媒體 / 觀察|blatant bug|工程 / 品質|公然明顯,根本不打算藏,obvious,bias,quality,adjective,blatant
blithe|blithe|adjective|BLYTHE · UK /blaɪð/ · US /blaɪð/|C2|2.49|lightly unconcerned where more caution seems due|不是自在，而是有點太不在乎後果。|表示漫不經心、無憂到近乎輕率。|carefree|無憂無慮|像站在濕滑邊緣還吹口哨，不是沒風險，只是他沒把風險當回事。|人物描寫、風險態度與評論語氣|blithe assumption|評論 / 分析|blithe disregard|公共 / 批評|blithe confidence|人際 / 描寫|輕率不在乎,站在邊緣還吹口哨,carefree,risk,attitude,adjective,blithe
brazen|brazen|adjective|BRAY-zn · UK /ˈbreɪ.zən/ · US /ˈbreɪ.zən/|C1|2.77|boldly shameless in the face of criticism|不是勇敢，而是明知道會被罵，還是大剌剌地做給你看。|表示厚顏、無所顧忌地公然行事。|bold|大膽|像在大家面前直接伸手拿最後一塊蛋糕，還跟你對視。|公共爭議、人物描寫與職場衝突|brazen attempt|評論 / 公共|brazen lie|媒體 / 觀察|brazen move|職場 / 衝突|厚顏公然,被看著也照做,bold,conflict,criticism,adjective,brazen
brevity|brevity|noun|BREV-uh-tee · UK /ˈbrev.ə.ti/ · US /ˈbrev.ə.t̬i/|C1|2.72|usefulness of saying enough in very little space|不是少講而已，而是把必要內容壓得短卻不失核心。|表示簡潔、短小精煉的特質。|conciseness|簡潔|像摺刀一收，只剩最需要的那段刀鋒露在外面。|寫作編輯、會議報告與介面文案|brevity of the message|寫作 / 文案|appreciate brevity|會議 / 溝通|brevity and clarity|編輯 / 表達|短小精煉,只留必要刀鋒,conciseness,writing,clarity,noun,brevity
broach|broach|verb|BROHCH · UK /brəʊtʃ/ · US /broʊtʃ/|C1|2.76|bring up a delicate topic for discussion|不是隨口提一下，而是小心把某個敏感話題推到桌面上。|表示開啟、提出一個可能尷尬或重要的討論。|mention|提到|像把封著的盒蓋先掀開一角，讓大家都知道裡面的事得談了。|困難對話、績效回饋與家庭協商|broach the subject|溝通 / 對話|broach a concern|職場 / 回饋|broach the issue gently|人際 / 協商|開敏感話題,把盒蓋掀開一角,mention,conversation,feedback,verb,broach
