slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
connotation|connotation|noun|kon-uh-TAY-shuhn · UK /ˌkɒn.əˈteɪ.ʃən/ · US /ˌkɑː.nəˈteɪ.ʃən/|C1|3.29|the feeling and implication surrounding a word|不是字典義本身，而是字一出口時跟著帶出來的氣味與暗示。|表示某個詞語附帶的聯想、情緒色彩與含意。|meaning|意思|像同一顏色在不同光下都還是那個顏色，但氣氛完全變了。|語意分析、翻譯取捨與品牌命名|negative connotation|語言 / 翻譯|connotation of the word|寫作 / 編輯|political connotation|社會 / 評論|語感,隱含意味,meaning,language,translation,noun,connotation
consolidate|consolidate|verb|kuhn-SOL-uh-dayt · UK /kənˈsɒl.ɪ.deɪt/ · US /kənˈsɑː.lə.deɪt/|C1|3.44|pull scattered parts into a stronger whole|不是堆更多，而是把分散資源收攏，讓整體更穩更有力。|表示整合、鞏固、合併，使原本分散的東西變集中。|merge|合併|像把桌上散亂的螺絲一顆顆收進分格盒，之後才真的好用。|資料整合、組織調整與知識整理|consolidate the data|資料 / 分析|consolidate power|政治 / 組織|consolidate the notes|學習 / 寫作|整合,鞏固,merge,data,organization,verb,consolidate
contention|contention|noun|kuhn-TEN-shuhn · UK /kənˈten.ʃən/ · US /kənˈten.ʃən/|C2|2.83|a point that is actively argued over|不是普通意見，而是正在被爭論、拉扯、主張的焦點。|表示爭論、爭奪，或某人堅持主張的一點。|argument|爭論|像繩子中間那段被兩邊同時拉住，問題就卡在那裡。|會議爭點、論文主張與資源競逐|main contention|論證 / 研究|point of contention|會議 / 溝通|resource contention|系統 / 效能|爭點,拉扯,argument,debate,systems,noun,contention
contrive|contrive|verb|kuhn-TRYV · UK /kənˈtraɪv/ · US /kənˈtraɪv/|C2|2.61|arrange something by deliberate craft, often a bit unnaturally|不是自然發生，而是刻意設計出來，有時甚至太刻意。|表示設法安排、巧妙做成，或在故事與結果上帶有人為痕跡。|arrange|安排|像把舞台上的燈和站位都算好，讓某個效果一定會出現。|敘事設計、問題製造與策略安排|contrive a scenario|測試 / 設計|contrive an excuse|日常 / 人際|contrived plot twist|寫作 / 評論|刻意安排,做作,arrange,design,storytelling,verb,contrive
counterintuitive|counterintuitive|adjective|KOWN-ter-in-TOO-uh-tiv · UK /ˌkaʊn.tər.ɪnˈtjuː.ɪ.tɪv/ · US /ˌkaʊn.t̬ɚ.ɪnˈtuː.ə.t̬ɪv/|C2|2.96|true even though instinct points the other way|不是難懂，而是你的第一直覺剛好錯了。|表示某件事與直覺相反，但經過理解後卻成立。|surprising|令人驚訝|像你以為加更多 log 會更清楚，結果反而更看不出模式。|產品設計、科學理解與學習轉折|counterintuitive result|研究 / 分析|counterintuitive design choice|產品 / 設計|counterintuitive lesson|學習 / 教學|反直覺,第一反應會錯,surprising,design,science,adjective,counterintuitive
credible|credible|adjective|KRED-uh-buhl · UK /ˈkred.ə.bəl/ · US /ˈkred.ə.bəl/|C1|3.92|believable because it can withstand checking|不是看起來像真的，而是拿去檢查也站得住。|表示說法、證據或人物可信、值得相信。|believable|可信|像一座橋不是彩圖上好看，而是你真的敢走上去。|證據評估、敘事真實感與人際信任|credible evidence|研究 / 法務|credible explanation|分析 / 溝通|credible witness|法務 / 敘事|可信,站得住,believable,evidence,trust,adjective,credible
curtail|curtail|verb|ker-TAYL · UK /kɜːˈteɪl/ · US /kɝːˈteɪl/|C1|3.14|cut something back before it runs its full length|不是停止全部，而是把範圍、時間或權限收短。|表示削減、縮短或限制某事的延展。|reduce|減少|像捲尺本來要繼續拉出去，卻被你提早收了回來。|預算控制、權限管理與活動長度|curtail spending|財務 / 管理|curtail access|安全 / 系統|curtail the meeting|工作 / 日常|縮減,收短,reduce,budget,access,verb,curtail
dearth|dearth|noun|DURTH · UK /dɜːθ/ · US /dɝːθ/|C2|2.75|a notable absence where enough should exist|不是單純少，而是少到你明顯感覺缺口。|表示缺乏、短缺，尤其是原本應該要有但沒有。|lack|缺少|像置物架上本該一整排都有，結果現在空得一眼就看出不對。|人才供給、資料缺口與資源配置|dearth of talent|人資 / 組織|dearth of evidence|研究 / 分析|dearth of options|決策 / 日常|短缺,明顯缺口,lack,talent,evidence,noun,dearth
decouple|decouple|verb|dee-KUP-uhl · UK /diːˈkʌp.əl/ · US /diːˈkʌp.əl/|C1|3.02|separate linked parts so one can change without dragging the other|不是拆散而已，而是讓彼此不再被綁死。|表示把兩個原本緊密連動的部分分離，使它們可獨立運作。|separate|分開|像原本綁在一起的兩節車廂終於脫開，轉向不用一起被拉走。|系統架構、政策關聯與流程設計|decouple the service|系統 / 架構|decouple growth from cost|商業 / 策略|decouple the schedule|流程 / 專案|解耦,解除綁定,separate,architecture,strategy,verb,decouple
deflect|deflect|verb|dih-FLEKT · UK /dɪˈflekt/ · US /dɪˈflekt/|C1|3.25|change the direction of force, attention, or blame|不是正面承受，而是把來勢偏開。|表示轉移撞擊、注意力、批評或問題方向。|redirect|轉向|像球本來直衝過來，拍面只偏一點，路徑就整個改了。|衝突處理、物理受力與媒體應對|deflect criticism|溝通 / 組織|deflect the beam|光學 / 工程|deflect attention|媒體 / 日常|偏轉,轉移,redirect,conflict,optics,verb,deflect
deplete|deplete|verb|dih-PLEET · UK /dɪˈpliːt/ · US /dɪˈpliːt/|C1|3.19|draw a resource down toward emptiness|不是用了就算，而是用到存量明顯見底。|表示耗盡、消耗大量資源，使其接近枯竭。|drain|耗掉|像電量條一格一格往下掉，最後只剩一條紅線。|電源管理、體力消耗與資源規劃|deplete the battery|硬體 / 電源|deplete reserves|財務 / 策略|deplete your energy|生活 / 身體|耗盡,見底,drain,battery,resources,verb,deplete
derivative|derivative|adjective|duh-RIV-uh-tiv · UK /dɪˈrɪv.ə.tɪv/ · US /dɚˈrɪv.ə.t̬ɪv/|C2|2.88|borrowed so heavily that little feels original|不是有靈感來源，而是來源痕跡重到自己的形狀變很薄。|表示作品、想法或做法過度依賴既有來源，缺少原創性。|unoriginal|缺乏原創|像你在新漆下面還是能清楚看到舊牆的花紋。|創作評論、產品評估與論述判斷|feel derivative|評論 / 設計|derivative work|創作 / 法務|derivative solution|產品 / 工程|衍生感過重,缺乏原創,unoriginal,design,critique,adjective,derivative
detract|detract|verb|dih-TRAKT · UK /dɪˈtrækt/ · US /dɪˈtrækt/|C1|3.03|pull value or attention away from something good|不是摧毀，而是一點一點把原本的好扣掉。|表示減損價值、品質或注意力，使整體效果變差。|lessen|減少|像本來很乾淨的畫面只多了一個錯位按鈕，整體質感就被拉低。|介面評估、敘事節奏與產品品質|detract from the experience|產品 / 設計|detract from the message|寫作 / 簡報|detract from the value|商業 / 分析|減損,扣分,lessen,design,message,verb,detract
deviate|deviate|verb|DEE-vee-ayt · UK /ˈdiː.vi.eɪt/ · US /ˈdiː.vi.eɪt/|C1|3.21|move away from the expected path or norm|不是換方向而已，而是偏離原本約定或預期的軌道。|表示脫離標準、路線、規劃或平均值。|diverge|偏離|像火車不是換月台，而是整列離開了原本那條軌。|規格遵循、數據偏移與流程控制|deviate from the plan|專案 / 規劃|deviate from spec|工程 / 品質|deviate from the mean|統計 / 分析|偏離,脫軌,diverge,spec,statistics,verb,deviate
diffuse|diffuse|adjective|dih-FYOOS · UK /dɪˈfjuːs/ · US /dɪˈfjuːs/|C2|2.84|spread out so widely that no single point stays sharp|不是豐富，而是散得很開，焦點不再集中。|表示光線、注意力、文字或責任分散而不集中。|spread|散開|像霧天裡的光沒有明確邊緣，整片亮，卻沒有一點特別亮。|光學描述、責任分配與寫作結構|diffuse light|視覺 / 攝影|diffuse responsibility|組織 / 管理|diffuse argument|寫作 / 評論|分散,失焦,spread,light,writing,adjective,diffuse
dilute|dilute|verb|dy-LOOT · UK /daɪˈluːt/ · US /daɪˈluːt/|C1|3.18|weaken something by mixing in more than it can carry|不是擴大，而是加進去的東西太多，濃度被拉薄。|表示稀釋液體，也可比喻削弱力量、品牌或論點。|weaken|削弱|像一匙顏料進了一大桶水，顏色立刻被沖淡。|化學混合、品牌訊息與論證強度|dilute the solution|化學 / 工程|dilute the message|品牌 / 寫作|dilute ownership|管理 / 組織|稀釋,沖淡,weaken,chemistry,branding,verb,dilute
dissonance|dissonance|noun|DIS-uh-nuhns · UK /ˈdɪs.ən.əns/ · US /ˈdɪs.ən.əns/|C2|2.77|elements rubbing against each other without resolving|不是差異而已，而是差異之間產生明顯摩擦感。|表示音樂上的不協和，或觀念、言行之間的不一致張力。|conflict|衝突|像兩個音還沒和開之前，耳朵先感到那股卡住的張力。|音樂感受、價值衝突與認知落差|cognitive dissonance|心理 / 學習|dissonance in the data|分析 / 研究|moral dissonance|評論 / 敘事|不協和,摩擦張力,conflict,psychology,analysis,noun,dissonance
divergent|divergent|adjective|dy-VUR-juhnt · UK /daɪˈvɜː.dʒənt/ · US /daɪˈvɝː.dʒənt/|C1|3.09|moving away from a shared center into different paths|不是不同而已，而是從同一點開始越走越開。|表示意見、數據、方向或發展彼此分岔、漸行漸遠。|different|不同|像道路從同一個岔口分出兩條線，越往前距離越大。|策略方向、思考模式與數據走勢|divergent views|會議 / 溝通|divergent thinking|學習 / 創意|divergent trends|市場 / 分析|分岔,越走越開,different,thinking,trends,adjective,divergent
eclipse|eclipse|verb|ih-KLIPS · UK /ɪˈklɪps/ · US /ɪˈklɪps/|C1|3.28|block or outshine something so it loses visibility|不是只是比它好，而是好到它幾乎看不見了。|表示遮蔽、掩蓋，或因更強勢的事物而使別的東西失色。|outshine|蓋過|像大光一亮，旁邊原本細緻的小燈就整個退到背景裡。|競品比較、天文比喻與敘事焦點|eclipse the competition|商業 / 市場|eclipse earlier work|創作 / 評論|solar eclipse|自然 / 科學|遮蔽,蓋過,outshine,competition,focus,verb,eclipse
eclectic|eclectic|adjective|ih-KLEK-tik · UK /ɪˈklek.tɪk/ · US /ɪˈklek.tɪk/|C2|2.91|made from varied sources chosen for fit rather than sameness|不是雜亂拼貼，而是從不同地方挑出真正合用的部分。|表示風格、興趣或方法兼收並蓄，來源多元。|varied|多樣|像書架上每層都不是同一類書，但放在一起又看得出同一個人。|設計風格、學習素材與品味描述|eclectic taste|生活 / 品味|eclectic mix|設計 / 產品|eclectic reading list|學習 / 閱讀|兼收並蓄,多源組合,varied,design,learning,adjective,eclectic
efficacy|efficacy|noun|EF-ih-kuh-see · UK /ˈef.ɪ.kə.si/ · US /ˈef.ə.kə.si/|C1|3.06|the degree to which something truly works|不是理論上可行，而是實際上確實有效。|表示方法、藥物或措施的有效性與效果程度。|effectiveness|有效性|像不是看宣傳單，而是看它真的有沒有把問題壓下去。|醫療效果、政策評估與實驗驗證|clinical efficacy|醫療 / 研究|efficacy of the method|分析 / 實驗|prove efficacy|產品 / 評估|有效性,實際效果,effectiveness,medical,testing,noun,efficacy
elastic|elastic|adjective|ih-LAS-tik · UK /ɪˈlæs.tɪk/ · US /iˈlæs.tɪk/|C1|3.48|able to stretch and return without losing identity|不是鬆，而是能拉開、調整，之後還能回來。|表示可伸縮、有彈性，或制度、時間安排具有可調空間。|flexible|彈性|像橡皮筋被拉長時沒有斷，鬆手後還是能回到自己的形狀。|材料性質、時間安排與制度設計|elastic waistband|日常 / 物件|elastic schedule|工作 / 規劃|elastic demand|經濟 / 分析|彈性,可伸縮,flexible,materials,schedule,adjective,elastic
embed|embed|verb|em-BED · UK /ɪmˈbed/ · US /ɪmˈbed/|C1|3.73|set something deeply into a larger structure|不是放進去而已，而是放到之後很難分開。|表示將資訊、元件、觀念或人員嵌入某個較大系統中。|insert|插入|像螺絲不是暫時放在洞口，而是真正鎖進結構裡。|軟體整合、組織流程與媒體內容|embed a video|網頁 / 內容|embed the sensor|硬體 / 系統|embed the habit|學習 / 生活|嵌入,深植,insert,systems,habit,verb,embed
emulate|emulate|verb|EM-yuh-layt · UK /ˈem.jə.leɪt/ · US /ˈem.jə.leɪt/|C1|3.20|reproduce what works by following a model|不是盲目模仿，而是抓住有效模式並重現。|表示模仿、仿效，常帶有想達到相同水準的意味。|imitate|模仿|像你不是照抄答案，而是拆解高手的解法再自己走一遍。|學習方法、工具相容與榜樣追趕|emulate the behavior|系統 / 測試|emulate the style|寫作 / 設計|emulate a mentor|成長 / 學習|仿效,重現模式,imitate,learning,testing,verb,emulate
entail|entail|verb|en-TAYL · UK /ɪnˈteɪl/ · US /ɪnˈteɪl/|C1|3.62|carry unavoidable consequences along with it|不是附送，而是你一選這條路，後面的成本就一起進來。|表示某事必然伴隨某種結果、要求或負擔。|require|需要|像拉下一個開關時，後面整串繼電器也跟著動起來。|需求分析、責任說明與風險評估|entail extra work|專案 / 工作|entail a risk|風險 / 分析|entail difficult choices|策略 / 決策|伴隨而來,必然帶出,require,risk,decision,verb,entail
