slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
cerebral|cerebral|adjective|suh-REE-brul · UK /səˈriː.brəl/ · US /səˈriː.brəl/|C2|2.71|focused on thought more than feeling|不是冷冰冰，而是重心在推理、概念和腦中的結構。|表示偏理智、偏思辨，以思考而非感官情緒為主。|intellectual|理智的|像一張桌上排滿圖表和草稿紙，熱度不高，但每一格都在運算。|影評書評、討論風格與作品氣質|cerebral drama|影視 / 評論|cerebral approach|分析 / 方法|cerebral style|寫作 / 風格|偏思辨,桌上排滿圖表,intellectual,analysis,style,adjective,cerebral
chafe|chafe|verb|CHAYF · UK /tʃeɪf/ · US /tʃeɪf/|C1|2.59|rub or rankle through repeated friction|不是一次刺到，而是反覆摩擦，久了就又痛又煩。|表示摩擦造成疼痛，也可比喻因限制而感到焦躁不耐。|irritate|使煩躁|像鞋後跟一直磨同一塊皮，步子越走越不想走。|身體不適、制度束縛與情緒描寫|chafe at the rules|制度 / 情緒|boots that chafe|身體 / 日常|chafed by delay|工作 / 進度|反覆摩擦,越走越痛越煩,irritate,friction,frustration,verb,chafe
chastise|chastise|verb|chas-TYZE · UK /tʃæsˈtaɪz/ · US /tʃæsˈtaɪz/|C2|2.57|scold or punish sharply to correct behavior|不是普通提醒，而是帶著責備力道地糾正。|表示嚴厲訓斥或懲戒，希望對方改正。|rebuke|斥責|像尺敲在桌面上，不一定打到人，但整個房間都知道界線被拉出來了。|教育情境、管理回饋與公共批評|chastise the child|教育 / 家庭|chastise the team|管理 / 團隊|chastise poor judgment|評論 / 公共|嚴厲糾正,尺敲桌面拉界線,rebuke,discipline,feedback,verb,chastise
circumvent|circumvent|verb|sir-kum-VENT · UK /ˌsɜː.kəmˈvent/ · US /ˌsɝː.kəmˈvent/|C1|2.86|get around an obstacle or rule by a side route|不是正面解掉，而是從旁邊繞過去。|表示規避障礙、限制或規則，尋找替代通道。|avoid|避開|像正門鎖住時，不去撞門，而是繞到側邊找一扇還沒封的窗。|限制規避、系統設計與策略應對|circumvent the restriction|工程 / 系統|circumvent the rule|制度 / 合規|circumvent a bottleneck|流程 / 管理|從旁邊繞過,鎖門時改找側窗,avoid,restriction,strategy,verb,circumvent
coerce|coerce|verb|koh-URS · UK /kəʊˈɜːs/ · US /koʊˈɝːs/|C1|2.79|force compliance through pressure or threat|不是說服，而是讓對方在壓力下幾乎沒有真正選擇。|表示強迫、威逼某人採取行動或同意。|force|強迫|像手不是牽著你走，而是抵在背後逼你往前。|權力濫用、談判倫理與法務語境|coerce a confession|法務 / 調查|coerce compliance|制度 / 權力|coerce the supplier|商業 / 協商|威逼強迫,背後頂著往前走,force,power,ethics,verb,coerce
coincide|coincide|verb|koh-in-SYD · UK /ˌkəʊ.ɪnˈsaɪd/ · US /ˌkoʊ.ɪnˈsaɪd/|C1|3.04|happen together or line up at the same moment|不是模糊相關，而是時間、位置或判斷剛好重合。|表示同時發生、相符或重疊。|overlap|重疊|像兩張透明片疊上去，線條忽然剛好完全對正。|時程安排、證據比對與觀察紀錄|coincide with the launch|專案 / 時程|dates coincide|排程 / 活動|findings coincide|研究 / 分析|剛好重合,兩張透明片對正,overlap,timing,analysis,verb,coincide
comply|comply|verb|kum-PLY · UK /kəmˈplaɪ/ · US /kəmˈplaɪ/|C1|3.11|act according to a demand, rule, or standard|不是點頭而已，而是實際照要求去做。|表示遵從規定、命令或標準。|obey|服從|像收到施工圖後，不是放進資料夾，而是照著每一條尺寸開始施工。|合規要求、稽核回應與作業流程|comply with regulations|法規 / 合規|comply with the request|工作 / 溝通|comply with standards|工程 / 品質|照要求去做,拿到施工圖就開工,obey,compliance,quality,verb,comply
concede|concede|verb|kun-SEED · UK /kənˈsiːd/ · US /kənˈsiːd/|C1|3.06|admit or yield a point after resistance|不是一開始就認，而是撐過一輪後終於承認某點站不住。|表示承認、讓步，接受對方某部分說法或勝利。|admit|承認|像棋盤上一路守到最後，終於把一格關鍵位置讓出去。|辯論攻防、競爭結果與談判讓步|concede the point|辯論 / 討論|concede defeat|競賽 / 衝突|concede that it matters|分析 / 評論|撐過才承認,棋盤上讓出關鍵格,admit,debate,negotiation,verb,concede
condone|condone|verb|kun-DOHN · UK /kənˈdəʊn/ · US /kənˈdoʊn/|C2|2.62|let wrongdoing pass without objection|不是喜歡，而是明知道有問題卻選擇不阻止。|表示縱容、默許錯誤行為或不當做法。|excuse|替錯誤找理由|像看見裂縫卻把布蓋上，表面安靜了，但問題其實被放過了。|倫理判斷、組織文化與公共批評|condone misconduct|職場 / 倫理|condone the behavior|教育 / 規範|refuse to condone|公共 / 評論|明知有問題卻放過,拿布蓋住裂縫,excuse,ethics,behavior,verb,condone
confer|confer|verb|kun-FUR · UK /kənˈfɜːr/ · US /kənˈfɝː/|C1|2.95|grant something formally with authority|不是隨口給，而是由有權的一方正式賦予。|表示授予權利、地位、榮銜或利益。|grant|授予|像把印章穩穩壓下去，從那一刻起，你的身分就有了不同。|頭銜授予、制度權限與法規程序|confer authority|治理 / 制度|confer a degree|教育 / 儀式|confer benefits|政策 / 制度|正式授予,印章壓下去,grant,authority,ceremony,verb,confer
construe|construe|verb|kun-STROO · UK /kənˈstruː/ · US /kənˈstruː/|C2|2.46|interpret the meaning of something in a specific way|不是單純看見，而是把它讀成某一種意思。|表示理解、解讀某句話、舉動或事件為某種含義。|interpret|解讀|像同一句訊息在不同光線下看，陰影的位置就會決定你讀出的情緒。|語意判讀、人際誤會與法律文字|construe it as a threat|溝通 / 人際|construe the clause narrowly|法務 / 文件|construe the silence|情緒 / 解讀|讀成某種意思,陰影決定情緒,interpret,meaning,law,verb,construe
contend|contend|verb|kun-TEND · UK /kənˈtend/ · US /kənˈtend/|C1|2.84|struggle against a force that does not go away easily|不是隨手處理，而是得跟一股持續存在的阻力周旋。|表示奮力應對、對抗或艱難處理某件事。|cope|應付|像逆風不是吹一下，而是整段路都要頂著它騎。|資源壓力、生活困難與系統限制|contend with delays|專案 / 進度|contend with scarcity|營運 / 資源|contend with grief|情緒 / 生活|頂著阻力前進,整段路都逆風,cope,pressure,challenge,verb,contend
contravene|contravene|verb|kon-truh-VEEN · UK /ˌkɒn.trəˈviːn/ · US /ˌkɑːn.trəˈviːn/|C2|2.41|go against a rule, law, or principle|不是不小心偏掉，而是直接和既定規範相抵觸。|表示違反法規、原則或正式要求。|violate|違反|像箭頭明明指向右邊，你卻硬把車頭扳向左邊。|合規審查、法規說明與政策評論|contravene the law|法務 / 合規|contravene policy|管理 / 制度|contravene the principle|評論 / 分析|與規則相抵觸,箭頭往右卻硬扳左,violate,law,policy,verb,contravene
contrition|contrition|noun|kun-TRISH-un · UK /kənˈtrɪʃ.ən/ · US /kənˈtrɪʃ.ən/|C2|2.44|sincere remorse that wants to make amends|不是嘴上說抱歉，而是心裡真的被自己的錯刺到。|表示真誠悔意，並伴隨想補救的心情。|regret|懊悔|像手碰到自己打破的碎片，不只知道它碎了，還會真切感到那道痛。|道歉修復、倫理反省與人物轉折|show contrition|人際 / 修復|public contrition|公共 / 危機|genuine contrition|倫理 / 評價|真誠悔意,手碰到自己打碎的碎片,regret,apology,ethics,noun,contrition
covet|covet|verb|KUV-it · UK /ˈkʌv.ɪt/ · US /ˈkʌv.ɪt/|C2|2.53|desire what belongs to someone else|不是普通想要，而是盯上了別人已經擁有的東西。|表示貪求、覬覦某人擁有的財物、位置或生活。|want|想要|像視線一直黏在別人手上的那把鑰匙，腦中已經開始想像它在自己口袋裡。|物質慾望、職位競逐與人物描寫|covet the position|職場 / 競爭|covet their success|人際 / 比較|covet the collection|生活 / 收藏|覬覦別人的,視線黏在那把鑰匙上,want,desire,competition,verb,covet
cower|cower|verb|KOW-er · UK /ˈkaʊ.ər/ · US /ˈkaʊ.ɚ/|C1|2.68|shrink back in fear and make yourself small|不是單純躲，而是整個人因害怕而縮起來。|表示因恐懼而畏縮、蜷縮或退縮。|hide|躲藏|像狗聽到雷聲後把身體壓到角落，連呼吸都變小聲。|創傷描寫、權力壓迫與新聞敘事|cower in fear|情緒 / 敘事|cower before authority|權力 / 公共|cower in the corner|人物 / 描寫|因害怕縮起來,連呼吸都變小聲,hide,fear,power,verb,cower
cursory|cursory|adjective|KUR-suh-ree · UK /ˈkɜː.sər.i/ · US /ˈkɝː.sɚ.i/|C1|2.64|done quickly without deep attention|不是精簡，而是快到只擦過表面。|表示草率、粗略、沒有深入檢查。|superficial|表面化|像手電只從房間門口掃過一下，亮過的地方不代表真的看清了。|程式審查、文件閱讀與品質檢查|cursory review|工程 / 審查|cursory glance|日常 / 觀察|cursory inspection|品質 / 檢查|草率粗略,只從門口掃過一下,superficial,review,inspection,adjective,cursory
cynical|cynical|adjective|SIN-ih-kul · UK /ˈsɪn.ɪ.kəl/ · US /ˈsɪn.ɪ.kəl/|C1|3.08|expect selfish motives behind things|不是保留懷疑，而是先假定背後多半沒有那麼好。|表示憤世或犬儒地認為他人出發點多半自私、不真誠。|skeptical|懷疑|像收到禮物先不看包裝，而是先猜送的人想換到什麼。|媒體評論、人際信任與政治觀察|cynical view|評論 / 分析|cynical joke|人際 / 語氣|cynical about politics|公共 / 社會|先假定沒那麼好,收到禮物先猜你想換什麼,skeptical,trust,politics,adjective,cynical
daunt|daunt|verb|DONT · UK /dɔːnt/ · US /dɔːnt/|C1|2.76|make someone lose courage before starting|不是直接打倒，而是先把勇氣往下壓。|表示使人畏縮、怯步，因困難或規模而不敢前進。|intimidate|使畏懼|像山還沒開始爬，抬頭看見坡度就先覺得腿軟。|任務啟動、心理壓力與人物描寫|daunt the newcomer|職場 / 新手|seem daunting|學習 / 任務|daunted by the scale|專案 / 規模|先把勇氣壓下去,抬頭就覺得腿軟,intimidate,challenge,scale,verb,daunt
debase|debase|verb|dih-BAYS · UK /dɪˈbeɪs/ · US /dɪˈbeɪs/|C2|2.37|lower the quality, value, or dignity of something|不是單純降低，而是把原本有分量的東西拉得更廉價或更低俗。|表示貶低、降低價值、品質或尊嚴。|degrade|貶低|像純金裡摻進太多雜質，還看得到光，但不再那麼貴重。|公共辯論、品牌品質與道德評價|debase the discussion|溝通 / 公共|debase the currency|經濟 / 歷史|debase yourself|人物 / 倫理|拉低價值,純金裡摻太多雜質,degrade,value,ethics,verb,debase
debilitate|debilitate|verb|dih-BIL-ih-tayt · UK /dɪˈbɪl.ɪ.teɪt/ · US /dɪˈbɪl.ə.teɪt/|C2|2.43|weaken until normal function suffers|不是累而已，而是弱到原本能做的事開始做不動。|表示使虛弱、削弱功能或行動力。|weaken|削弱|像電池不是掉一格，而是掉到連開機都變得吃力。|健康狀態、系統損耗與心理壓力|debilitating illness|健康 / 醫療|debilitate the network|工程 / 系統|debilitated by stress|工作 / 情緒|弱到影響功能,電池掉到開機都吃力,weaken,health,systems,verb,debilitate
debunk|debunk|verb|dee-BUNK · UK /ˌdiːˈbʌŋk/ · US /ˌdiːˈbʌŋk/|C1|2.79|expose something as false or inflated|不是單純不同意，而是把它拆到大家看見原來站不住。|表示揭穿神話、錯誤說法或被誇大的主張。|disprove|證偽|像把舞台布幕一拉開，後面那些看似巨大可怕的影子全變回紙板。|科普澄清、媒體查核與技術迷思|debunk the myth|科普 / 教育|debunk the rumor|媒體 / 查核|debunk the claim|分析 / 評論|揭穿站不住,拉開布幕只剩紙板,disprove,myth,fact-checking,verb,debunk
decadent|decadent|adjective|DEK-uh-duhnt · UK /ˈdek.ə.dənt/ · US /ˈdek.ə.dənt/|C2|2.45|luxurious to the point of excess and decline|不是精緻享受而已，而是過度華麗到有點腐敗。|表示奢靡、縱逸，或文明進入頹靡末期的感覺。|lavish|奢華|像蛋糕上的奶油一層又一層，已經不是為了好吃，而是為了堆出過量。|飲食描寫、文化評論與人物風格|decadent dessert|生活 / 飲食|decadent lifestyle|人物 / 描寫|decadent age|文化 / 評論|奢靡到過量,奶油堆到太多,luxury,culture,style,adjective,decadent
decipher|decipher|verb|dih-SY-fer · UK /dɪˈsaɪ.fər/ · US /dɪˈsaɪ.fɚ/|C1|2.88|make out meaning from confusing signs or code|不是一眼看懂，而是慢慢把混亂訊號拆成可讀的內容。|表示解讀難懂的字跡、代碼、訊號或情境。|decode|解碼|像在雜訊很重的頻道裡，一格一格把真正的旋律撿出來。|除錯分析、古文辨讀與資料解碼|decipher the signal|工程 / 訊號|decipher the note|閱讀 / 文件|decipher the pattern|分析 / 研究|從亂訊號讀出意思,一格格撿回旋律,decode,signals,analysis,verb,decipher
defiant|defiant|adjective|dih-FY-uhnt · UK /dɪˈfaɪ.ənt/ · US /dɪˈfaɪ.ənt/|C1|2.91|openly resistant to authority or pressure|不是低調不服，而是把不服寫在表情和動作上。|表示挑戰權威、不肯屈服的態度。|stubborn|固執|像風已經很大，旗子卻不是垂下來，而是更用力往反方向張開。|人物描寫、抗議場景與團隊衝突|defiant tone|人際 / 溝通|defiant stance|公共 / 社會|remain defiant|新聞 / 敘事|公開不服,旗子往反方向張開,stubborn,resistance,authority,adjective,defiant
defer|defer|verb|dih-FUR · UK /dɪˈfɜːr/ · US /dɪˈfɝː/|C1|2.96|push a decision or action to a later time|不是放棄，而是先把它排到更後面處理。|表示延後、暫緩某個決定、付款或行動。|postpone|延後|像桌上待辦不是撕掉，而是整張移到下一頁繼續等。|時程安排、財務處理與決策暫緩|defer the decision|管理 / 決策|defer payment|財務 / 合約|defer action|風險 / 程序|先排到後面,整張移到下一頁,postpone,scheduling,decision,verb,defer
denounce|denounce|verb|dih-NOWNS · UK /dɪˈnaʊns/ · US /dɪˈnaʊns/|C1|2.93|publicly condemn in strong terms|不是私下抱怨，而是站出來明白說這件事不行。|表示公開譴責、強烈斥責某個行為或制度。|condemn|譴責|像把警報器按下去，不只提醒自己，而是讓整棟樓都聽見。|社會評論、政策批判與組織倫理|denounce corruption|公共 / 社會|denounce the practice|評論 / 倫理|denounce the attack|新聞 / 時事|公開斥責,把警報器按下去,condemn,public,ethics,verb,denounce
deprecate|deprecate|verb|DEP-ri-kayt · UK /ˈdep.rə.keɪt/ · US /ˈdep.rə.keɪt/|C2|2.38|express disapproval of something as unsuitable|不是隨便嫌，而是認為它不該再被鼓勵或使用。|表示反對、對某做法表達不贊成。|criticize|批評|像看見舊橋已經裂開，主動在入口掛上不建議通行的牌子。|做法評估、技術淘汰與公共評論|deprecate the practice|評論 / 倫理|deprecate old APIs|工程 / 維護|deprecate the remark|人際 / 對話|表達不贊成,裂橋前掛警示牌,criticize,maintenance,ethics,verb,deprecate
deride|deride|verb|dih-RYD · UK /dɪˈraɪd/ · US /dɪˈraɪd/|C2|2.54|mock with open contempt|不是開玩笑，而是把對方當成值得被看低的對象。|表示嘲弄、譏笑、輕蔑地取笑。|mock|嘲笑|像有人剛開口，旁邊就先傳來一陣帶刺的笑聲。|公共輿論、校園互動與人物衝突|deride the proposal|評論 / 公共|deride as naive|辯論 / 媒體|deride the effort|人際 / 團隊|輕蔑嘲弄,帶刺的笑聲先出來,mock,contempt,conflict,verb,deride
desist|desist|verb|dih-ZIST · UK /dɪˈzɪst/ · US /dɪˈzɪst/|C2|2.37|stop an action after deciding or being told to stop|不是自然結束，而是明確收手。|表示停止某種行動，常見於正式警告或自我克制。|stop|停止|像手已經伸到按鈕前，最後還是在碰到前停住。|法務警告、自我克制與衝突降溫|desist from the act|法務 / 正式|desist immediately|程序 / 安全|desist after warning|衝突 / 管理|明確收手,按下前把手停住,stop,warning,restraint,verb,desist
desolate|desolate|adjective|DES-uh-luht · UK /ˈdes.ələt/ · US /ˈdes.ə.lət/|C1|2.82|emptied of life, warmth, or comfort|不是安靜，而是安靜到只剩荒涼。|表示荒蕪、淒涼，或情感上感到被掏空。|lonely|孤單|像風穿過空屋，不是沒聲音，而是每一聲都顯得更空。|風景描寫、失落情緒與災後場景|desolate landscape|敘事 / 場景|feel desolate|情緒 / 日常|desolate street|新聞 / 描寫|荒涼空掉,風穿過空屋,lonely,landscape,emotion,adjective,desolate
dissipate|dissipate|verb|DIS-uh-payt · UK /ˈdɪs.ɪ.peɪt/ · US /ˈdɪs.ə.peɪt/|C1|2.92|scatter until force or tension thins out|不是瞬間消失，而是慢慢散開、散淡。|表示雲霧、能量、恐懼或怒氣逐漸消散。|disperse|散去|像晨霧不是被切掉，而是被日光一層層推薄。|情緒調節、氣象描寫與熱能流失|dissipate the tension|人際 / 溝通|dissipate heat|工程 / 熱設計|mist dissipates|自然 / 描寫|慢慢散開,日光把霧一層層推薄,disperse,heat,tension,verb,dissipate
divest|divest|verb|dy-VEST · UK /daɪˈvest/ · US /daɪˈvest/|C2|2.40|strip away holdings or responsibility deliberately|不是丟掉，而是有計畫地把持有的東西卸出去。|表示出售資產、剝離業務，或使自己不再持有某物。|sell|出售|像樹把過重的枝條修掉，不是因為討厭，而是為了讓整體活得更穩。|資產調整、企業重整與價值表態|divest the assets|財務 / 企業|divest from fossil fuels|公共 / 投資|divest responsibility|治理 / 權責|有計畫卸出去,修掉過重枝條,sell,assets,restructuring,verb,divest
dogged|dogged|adjective|DOG-id · UK /ˈdɒɡ.ɪd/ · US /ˈdɑː.ɡɪd/|C1|2.71|stubbornly persistent despite repeated difficulty|不是熱血一陣，而是被擋住很多次還繼續往前鑽。|表示頑強、鍥而不捨地持續追做某件事。|determined|堅定|像雨天裡一路濕著往前走，鞋重了、風大了，但步子沒停。|長期調查、訓練堅持與專案推進|dogged pursuit|研究 / 調查|dogged effort|工作 / 執行|dogged persistence|成長 / 訓練|頑強不放棄,鞋重了步子還沒停,determined,persistence,effort,adjective,dogged
dovetail|dovetail|verb|DUV-tayl · UK /ˈdʌv.teɪl/ · US /ˈdʌv.teɪl/|C1|2.51|fit neatly together without wasted gaps|不是碰巧相近，而是像本來就設計成能扣在一起。|表示兩件事自然銜接、相互契合。|match|搭配相合|像木工的榫接，一推進去就剛好卡住，不鬆也不擠。|需求對齊、流程整合與敘事轉場|dovetail with the plan|專案 / 規劃|dovetail nicely|設計 / 整合|dovetail the schedules|排程 / 協調|自然扣合,像榫接一推就卡住,match,integration,scheduling,verb,dovetail
drastic|drastic|adjective|DRAS-tik · UK /ˈdræs.tɪk/ · US /ˈdræs.tɪk/|C1|3.14|severe enough to change the situation sharply|不是大動作而已，而是會把整個局面一下拉到另一邊。|表示激烈、劇烈，帶來顯著而強硬的改變。|severe|嚴重|像不是微調旋鈕，而是直接把整條桿子扳到底。|成本控制、政策調整與危機應對|drastic measure|管理 / 危機|drastic cut|財務 / 成本|drastic change|生活 / 轉折|劇烈改變,直接把桿子扳到底,severe,change,crisis,adjective,drastic
ebb|ebb|verb|EB · UK /eb/ · US /eb/|C1|2.74|gradually recede or drain away|不是啪地消失，而是慢慢往後退，露出原本被蓋住的地方。|表示潮水、力量、情緒或支持逐漸減退。|fade|消退|像海水退下去後，岸邊的石頭一顆一顆重新露出來。|市場熱度、體力變化與情緒波動|energy begins to ebb|健康 / 狀態|interest ebbs|市場 / 趨勢|the tide ebbs|自然 / 描寫|逐漸退去,石頭慢慢重新露出,fade,energy,tide,verb,ebb
efface|efface|verb|ih-FAYS · UK /ɪˈfeɪs/ · US /ɪˈfeɪs/|C2|2.31|erase traces of something from view or memory|不是遮一下，而是把痕跡盡量抹到看不見。|表示抹去、消除存在感或刪除痕跡。|erase|擦除|像沙灘上的腳印被海水洗平，走過的人像沒來過。|記錄清理、品牌降噪與自我退後|efface the marks|維護 / 清理|efface yourself|人際 / 角色|efface the evidence|敘事 / 推理|抹去痕跡,腳印被海水洗平,erase,trace,cleanup,verb,efface
elapse|elapse|verb|ih-LAPS · UK /ɪˈlæps/ · US /ɪˈlæps/|C1|2.84|pass as time between two points|不是做了什麼，而是時間自己默默走過去。|表示一段時間過去、流逝。|pass|過去|像沙漏不是誰在推它，卻還是一粒一粒穩穩往下掉。|時程描述、等待過程與程序規定|hours elapsed|日常 / 時間|time elapses quickly|生活 / 描寫|before long elapsed|程序 / 文件|時間流逝,沙漏自己穩穩往下掉,pass,time,process,verb,elapse
elucidate|elucidate|verb|ih-LOO-suh-dayt · UK /iˈluː.sɪ.deɪt/ · US /iˈluː.sə.deɪt/|C2|2.49|make something clear by patient explanation|不是只丟答案，而是把原本混霧的地方一層層照亮。|表示闡明、說清楚複雜概念或關係。|clarify|澄清|像把多層霧氣中的路標一個一個擦乾淨，終於知道該往哪走。|教學說明、技術文件與研究討論|elucidate the mechanism|研究 / 分析|elucidate the point|教學 / 寫作|elucidate the relationship|技術 / 文件|層層講清楚,把霧裡路標擦乾淨,clarify,teaching,research,verb,elucidate
