slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
conspicuous|conspicuous|adjective|kuhn-SPIK-yoo-us · UK /kənˈspɪk.ju.əs/ · US /kənˈspɪk.ju.əs/|C2|2.93|easy to notice because it stands out sharply|不是普通可見，而是和周圍一比就跳出來。|表示顯眼、醒目或明顯到難以忽略。|noticeable|引人注意|像白牆上一道鮮紅色划痕，再遠也會先看到它。|版面檢查、行為觀察與敘事描寫|conspicuous absence|評論 / 觀察|conspicuous gap|品質 / 檢查|conspicuous logo|設計 / 視覺|顯眼突出,一眼跳出,noticeable,design,observation,adjective,conspicuous
corrode|corrode|verb|kuh-ROHD · UK /kəˈrəʊd/ · US /kəˈroʊd/|C1|3.00|wear away slowly through contact over time|不是一下打碎，而是長期接觸後一點一點侵蝕。|表示腐蝕金屬，也可比喻慢慢侵蝕信任、制度或關係。|erode|侵蝕|像鹽霧每天都薄薄覆上一層，久了連堅硬的表面也會起坑。|硬體可靠度、信任關係與制度磨損|corrode the metal|硬體 / 材料|corrode trust|組織 / 關係|salt can corrode connectors|工程 / 維護|慢慢侵蝕,接觸耗損,erode,hardware,trust,verb,corrode
deference|deference|noun|DEF-er-uhns · UK /ˈdef.ər.əns/ · US /ˈdef.ɚ.əns/|C2|2.69|respect shown by yielding space to another judgment|不是盲從，而是出於尊重而先讓對方的判斷排在前面。|表示出於尊敬而表示順從、禮讓或依從。|respect|尊重|像走廊會車時你先向旁邊退一步，讓更重要的通行先過。|組織層級、法務判例與社交禮節|show deference to experience|組織 / 禮節|deference to precedent|法務 / 判例|deference to seniority|職場 / 階序|出於尊重的讓位,禮讓依從,respect,precedent,seniority,noun,deference
dispense|dispense|verb|dis-PENS · UK /dɪˈspens/ · US /dɪˈspens/|C1|3.05|release something from a controlled source in portions|不是胡亂發出去，而是從一個源頭有節制地配出來。|表示分發、配給或從裝置中釋出某物。|distribute|分發|像機器每按一下就吐出剛好需要的量，不多也不少。|藥品配發、設備出料與自動化流程|dispense medication|醫療 / 藥局|dispense cash|金融 / 設備|dispense fuel|設備 / 工程|定量配發,從源頭放出,distribute,automation,medical,verb,dispense
elated|elated|adjective|ih-LAY-tid · UK /ɪˈleɪ.tɪd/ · US /ɪˈleɪ.t̬ɪd/|C1|3.13|lifted high by strong joy or relief|不是普通開心，而是情緒被整個抬了起來。|表示非常高興、振奮或如釋重負。|happy|開心|像胸口原本壓著的石頭忽然消失，整個人都輕了。|成果慶祝、好消息回應與情緒描寫|feel elated|情緒 / 日常|elated by the result|工作 / 成果|elated at the news|人際 / 事件|欣喜若狂,整個被抬起,happy,emotion,success,adjective,elated
entrench|entrench|verb|en-TRENCH · UK /ɪnˈtrentʃ/ · US /ɪnˈtrentʃ/|C2|2.64|set something so deeply that it resists removal|不是先放進去而已，而是深到很難再拔出來。|表示使觀念、制度或問題根深蒂固。|embed|嵌入|像樹根一路往下抓住土層，之後不靠重機很難挪動。|制度設計、組織文化與社會問題|entrench inequality|社會 / 制度|entrench the habit|心理 / 行為|entrenched assumption|組織 / 文化|根深蒂固,深埋難拔,embed,culture,systems,verb,entrench
facilitate|facilitate|verb|fuh-SIL-uh-tayt · UK /fəˈsɪl.ɪ.teɪt/ · US /fəˈsɪl.ə.teɪt/|C1|3.59|make a process move more easily|不是自己做完，而是讓別人的推進變順。|表示促進、協助或讓流程更容易進行。|help|幫助|像把卡住的滑軌先上好油，後面整段移動就順了。|會議主持、系統工具與流程優化|facilitate the discussion|會議 / 協作|facilitate onboarding|管理 / 團隊|facilitate data transfer|系統 / 工程|讓流程順起來,促進推進,help,workflow,collaboration,verb,facilitate
glean|glean|verb|GLEEN · UK /ɡliːn/ · US /ɡliːn/|C2|2.72|gather small useful pieces from scattered traces|不是一次拿到全部，而是從零碎訊號裡慢慢撿出重點。|表示蒐集、摘取或從片段資訊中推得有用內容。|infer|推得或得知|像收割後的田裡還有零星穗粒，要彎下身一把一把撿回來。|研究閱讀、除錯紀錄與使用者訪談|glean insight from interviews|研究 / 使用者|glean from the report|閱讀 / 分析|glean evidence from logs|工程 / 除錯|零碎撿出重點,從片段得知,infer,research,logs,verb,glean
incite|incite|verb|in-SYTE · UK /ɪnˈsaɪt/ · US /ɪnˈsaɪt/|C2|2.91|stir people toward stronger action or reaction|不是普通影響，而是把情緒推到會動起來的程度。|表示煽動、激起或促成激烈反應。|provoke|激起|像原本只冒煙的炭，被風一吹就開始竄火。|公共言論、群體情緒與衝突升高|incite violence|公共 / 法務|incite panic|風險 / 傳播|incite debate|評論 / 媒體|煽動激起,推到行動,provoke,public,conflict,verb,incite
indelible|indelible|adjective|in-DEL-uh-buhl · UK /ɪnˈdel.ɪ.bəl/ · US /ɪnˈdel.ə.bəl/|C2|2.66|leaving a mark that cannot easily be removed|不是印象深，而是像痕跡直接留在材料裡。|表示難以磨滅、難以擦除的印記或記憶。|lasting|持久|像墨水滲進纖維後，不管怎麼洗都還留下一層影子。|記憶描寫、品牌印象與歷史事件|indelible mark|敘事 / 描寫|indelible memory|情感 / 回憶|indelible impression|品牌 / 體驗|難以磨滅,洗不掉的痕跡,lasting,memory,impression,adjective,indelible
inevitable|inevitable|adjective|in-EV-uh-tuh-buhl · UK /ɪnˈev.ɪ.tə.bəl/ · US /ɪnˈev.ə.t̬ə.bəl/|C1|3.66|certain to arrive because the forces already point there|不是宿命論，而是條件已經推到很難不發生。|表示不可避免、勢必到來。|unavoidable|無法避免|像山坡上的石頭已經滾出臨界點，接下來只會往下。|風險預判、趨勢分析與變更管理|inevitable change|管理 / 組織|inevitable outcome|分析 / 判斷|almost inevitable delay|專案 / 風險|勢必到來,條件已推到那裡,unavoidable,risk,change,adjective,inevitable
innate|innate|adjective|ih-NAYT · UK /ɪˈneɪt/ · US /ɪˈneɪt/|C1|3.14|present from within rather than learned later|不是後天練出來，而是原本就帶在身上的傾向。|表示天生的、與生俱來的特質或能力。|inborn|與生俱來|像種子裡早就寫好的紋路，長出來後才慢慢看見。|能力特質、心理傾向與生物特徵|innate curiosity|學習 / 成長|innate ability|能力 / 評價|innate immune response|生物 / 醫學|與生俱來,天生帶著,inborn,ability,biology,adjective,innate
integrate|integrate|verb|IN-tuh-grayt · UK /ˈɪn.tɪ.ɡreɪt/ · US /ˈɪn.t̬ə.ɡreɪt/|C1|3.79|bring separate parts into a functioning whole|不是放在一起而已，而是讓它們真的能一起運作。|表示整合元件、人員、資料或想法，使其成為一體。|combine|結合|像齒輪不是堆成一堆，而是咬合後開始傳力。|系統整合、團隊協作與課程設計|integrate the systems|系統 / 工程|integrate new members|團隊 / 管理|integrate theory and practice|教育 / 學習|整合成一體,讓部分一起運作,combine,systems,teamwork,verb,integrate
kindle|kindle|verb|KIN-dl · UK /ˈkɪn.dəl/ · US /ˈkɪn.dəl/|C2|2.67|start a small spark that grows into feeling or action|不是一次炸開，而是先點起一個會自己擴大的火種。|表示點燃火焰，也可比喻喚起情感、興趣或希望。|ignite|點燃|像乾草上先亮起一點橘光，隨後整片溫度都跟著上來。|學習動機、情感描寫與創意啟動|kindle curiosity|學習 / 教學|kindle hope|情感 / 敘事|kindle the fire|日常 / 動作|點起火種,喚起情緒,ignite,learning,emotion,verb,kindle
mandate|mandate|noun|MAN-dayt · UK /ˈmæn.deɪt/ · US /ˈmæn.deɪt/|C1|3.29|official authority or duty that sets what must be done|不是普通建議，而是帶著正式授權或硬性要求。|表示正式授權、命令或必須執行的任務。|order|命令|像文件上蓋了章之後，它就不再只是口頭方向。|政策規範、組織治理與專案責任|clear mandate|治理 / 組織|mandate for change|政治 / 公共|regulatory mandate|法規 / 產業|正式授權,帶硬性要求,order,governance,policy,noun,mandate
oscillate|oscillate|verb|OS-uh-layt · UK /ˈɒs.ɪ.leɪt/ · US /ˈɑː.sə.leɪt/|C2|2.79|move back and forth between points or states|不是單次切換，而是在兩端之間反覆擺動。|表示在不同位置、意見或狀態之間來回震盪。|swing|來回擺動|像鐘擺不是選一邊停住，而是在兩側之間持續往返。|訊號變化、情緒起伏與決策猶豫|oscillate between options|決策 / 心理|oscillate rapidly|工程 / 訊號|oscillating demand|商業 / 分析|來回震盪,兩端擺動,swing,signal,decision,verb,oscillate
parry|parry|verb|PAR-ee · UK /ˈpær.i/ · US /ˈper.i/|C2|2.45|deflect an attack without taking the full hit|不是硬接，而是順勢把來的力道撥開。|表示擋開攻擊、質問或批評。|deflect|撥開或轉開|像劍尖擦著邊線滑過去，危險還在，但沒有正中身體。|辯論攻防、人際回應與策略互動|parry the criticism|溝通 / 辯論|parry the question|訪談 / 應對|parry the attack|武術 / 比喻|順勢擋開,不正面硬接,deflect,debate,response,verb,parry
periphery|periphery|noun|puh-RIF-uh-ree · UK /pəˈrɪf.ər.i/ · US /pəˈrɪf.ɚ.i/|C2|2.74|the outer edge where something is present but not central|不是完全無關，而是在邊緣、還沒進到核心。|表示邊緣地帶、周邊位置或非核心區域。|edge|邊緣|像舞台燈光最亮照中間，四周還看得見，但不在焦點上。|視覺注意、組織角色與戰略判讀|on the periphery|觀察 / 組織|periphery of the screen|介面 / 視覺|at the periphery of the debate|公共 / 討論|周邊邊緣,不在核心,edge,focus,organization,noun,periphery
porous|porous|adjective|POR-us · UK /ˈpɔː.rəs/ · US /ˈpɔːr.əs/|C1|2.98|full of openings that let things pass through|不是鬆散而已，而是本身就有很多可滲透的孔隙。|表示多孔的，也可比喻邊界、系統或規則容易滲透。|permeable|可滲透|像海綿表面看似完整，其實到處都有水能進出的路。|材料描述、資安邊界與制度設計|porous material|材料 / 工程|porous border|政治 / 公共|porous security|資安 / 系統|多孔可滲透,邊界漏得進去,permeable,security,materials,adjective,porous
provenance|provenance|noun|PROV-uh-nuhns · UK /ˈprɒv.ə.nəns/ · US /ˈprɑː.və.nəns/|C2|2.42|the origin trail that shows where something came from|不是只問來自哪裡，而是一路追到它怎麼到你手上。|表示來源、出處或流轉脈絡。|origin|來源|像一件物品背後拖著一串看不見的標籤，指向它走過的路。|資料治理、藝術收藏與研究引用|data provenance|資料 / 治理|provenance of the artifact|文物 / 研究|establish provenance|收藏 / 法務|來源脈絡,一路追出處,origin,data,history,noun,provenance
recur|recur|verb|rih-KUR · UK /rɪˈkɜːr/ · US /rɪˈkɝː/|C1|3.08|return again after seeming to pass|不是一直沒走，而是隔一段時間又回來。|表示再度出現、反覆發生或週期性重來。|repeat|重複|像浪退了以為安靜了，沒多久又同樣拍回岸邊。|錯誤追蹤、症狀觀察與模式分析|the issue recurs|工程 / 除錯|recur over time|分析 / 趨勢|recur after the patch|維運 / 追蹤|反覆再現,過一陣子又回來,repeat,bugs,patterns,verb,recur
reinforce|reinforce|verb|ree-in-FORS · UK /ˌriː.ɪnˈfɔːs/ · US /ˌriː.ɪnˈfɔːrs/|C1|3.41|add strength so something holds under pressure better|不是重做，而是往原本架構上補強。|表示強化、加固或進一步鞏固某種效果。|strengthen|強化|像橋面原本能走人，但再加一層鋼筋後才能安心載重。|結構補強、學習鞏固與訊息重申|reinforce the structure|工程 / 結構|reinforce the lesson|學習 / 教學|reinforce the message|溝通 / 策略|補強加固,讓它更扛壓,strengthen,structure,learning,verb,reinforce
relent|relent|verb|rih-LENT · UK /rɪˈlent/ · US /rɪˈlent/|C2|2.62|ease up after resistance or severity|不是想法改掉，而是原本緊咬不放的力道終於鬆了。|表示態度、壓力或條件變得不那麼強硬。|yield|讓步|像繃緊很久的繩子突然少了一點拉力，整體跟著軟下來。|談判讓步、天氣變化與自我要求|relent under pressure|談判 / 協商|the storm did not relent|自然 / 敘事|relent on the deadline|工作 / 管理|鬆口讓步,強硬終於鬆開,yield,negotiation,pressure,verb,relent
saturate|saturate|verb|SAT-chuh-rayt · UK /ˈsætʃ.ər.eɪt/ · US /ˈsætʃ.ɚ.eɪt/|C1|3.09|fill something until it cannot take much more|不是單純很多，而是多到幾乎沒有再容納的空間。|表示使飽和、浸透或讓市場與訊號滿到極限。|fill|填滿|像海綿吸到每個孔都滿了，再滴水也只會往外流。|市場分析、材料處理與影像色彩|saturate the market|商業 / 市場|saturate the fabric|材料 / 工藝|saturate the colors|影像 / 設計|填到飽和,再多就溢出,fill,market,color,verb,saturate
stagger|stagger|verb|STAG-er · UK /ˈstæɡ.ər/ · US /ˈstæɡ.ɚ/|C1|3.19|offset timing or position so things do not hit all at once|不是打散到沒關聯，而是故意錯開，避免同時擠在一起。|表示錯開時間、位置或順序，也可指蹣跚而行。|offset|錯開|像一排燈不是同時亮起，而是依次亮開，整條線就不會瞬間過載。|排程設計、流量控制與發布節奏|stagger the releases|產品 / 發布|stagger the shifts|管理 / 排班|stagger requests|系統 / 效能|錯開時序,避免同時撞上,offset,scheduling,performance,verb,stagger
steadfast|steadfast|adjective|STED-fast · UK /ˈsted.fɑːst/ · US /ˈsted.fæst/|C2|2.59|steady in loyalty or purpose over time|不是一時堅定，而是長時間都不偏不移。|表示忠誠、穩定或持續不變的堅守。|loyal|忠誠|像北極星不是最亮的那顆，但每晚都在差不多的位置。|承諾關係、價值堅持與長期目標|steadfast support|關係 / 團隊|steadfast commitment|治理 / 價值|steadfast friend|人際 / 情感|長久不移,穩穩守住,loyal,commitment,values,adjective,steadfast
stoke|stoke|verb|STOHK · UK /stəʊk/ · US /stoʊk/|C1|3.09|feed energy into something so it grows hotter or stronger|不是點火那一瞬間，而是不斷加料讓它燒旺。|表示添柴助長火勢，也可比喻推高情緒、需求或期待。|fuel|助長|像火已經有了，你再補進乾木頭，整個熱度馬上往上躥。|情緒推升、行銷預熱與內在動力|stoke demand|商業 / 市場|stoke anxiety|情緒 / 媒體|stoke the fire|日常 / 動作|持續添火,越燒越旺,fuel,emotion,demand,verb,stoke
subdue|subdue|verb|sub-DOO · UK /səbˈdjuː/ · US /səbˈduː/|C2|2.74|bring a force under control after resistance|不是消失，而是被壓到不再主導局面。|表示制服、壓制或使情緒與力量平息下來。|suppress|壓制|像翻湧的浪頭被防波堤打散，水還在，但不再那樣高。|執法行動、情緒控制與危機處理|subdue the suspect|執法 / 安全|subdue the panic|情緒 / 危機|subdue the fire|安全 / 應變|制服壓下,把強勢力量收住,suppress,safety,emotion,verb,subdue
sustain|sustain|verb|suh-STAYN · UK /səˈsteɪn/ · US /səˈsteɪn/|C1|4.03|keep something going at the needed level over time|不是短暫撐一下，而是能一路供應到事情走完。|表示維持、支撐或承受，使其持續存在。|maintain|維持|像橋樑不是只扛第一輛車，而是整天都能把重量穩穩接住。|長期專案、系統運作與個人能量|sustain the effort|工作 / 專案|sustain performance|系統 / 運作|sustain attention|學習 / 專注|長時間撐住,一路供應下去,maintain,effort,performance,verb,sustain
tangible|tangible|adjective|TAN-juh-buhl · UK /ˈtæn.dʒə.bəl/ · US /ˈtæn.dʒə.bəl/|C1|3.47|clear enough to feel or measure in concrete terms|不是抽象方向，而是你真的摸得到或量得到。|表示具體可感、可測或明確存在。|concrete|具體|像霧一散後，桌上的工具一件件都能伸手碰到。|成果評估、產品價值與風險判定|tangible benefit|商業 / 產品|tangible progress|專案 / 管理|tangible evidence|法務 / 判定|具體可感,摸得到量得到,concrete,results,evidence,adjective,tangible
transcend|transcend|verb|tran-SEND · UK /trænˈsend/ · US /trænˈsend/|C2|2.85|go beyond the usual limits of a category or frame|不是離開而已，而是超出原本框架還能成立。|表示超越限制、類別或一般經驗。|surpass|超越|像階梯走到頂後，前面不是平地，而是直接看見整個地形。|價值討論、藝術評論與策略視野|transcend the category|產品 / 評論|transcend boundaries|文化 / 社會|transcend short-term goals|策略 / 領導|超出框架,越過原本上限,surpass,vision,art,verb,transcend
turbulent|turbulent|adjective|TUR-byuh-luhnt · UK /ˈtɜː.bjə.lənt/ · US /ˈtɝː.bjə.lənt/|C1|3.11|full of unstable motion, conflict, or rapid change|不是只是忙，而是狀況本身一直亂流不斷。|表示動盪不安、紊亂或氣流劇烈。|unstable|不穩定|像飛機穿過亂流時，方向還在前進，但整個機身不停顫動。|市場變局、人生階段與飛行物理|turbulent period|歷史 / 社會|turbulent market|商業 / 分析|turbulent air|飛行 / 科學|動盪不安,亂流很多,unstable,market,change,adjective,turbulent
underscore|underscore|verb|un-der-SKOR · UK /ˌʌn.dəˈskɔː/ · US /ˌʌn.dɚˈskɔːr/|C1|3.08|highlight importance by marking or restating|不是提一下，而是特地把那條線畫得更重。|表示強調、凸顯某件事的重要性。|emphasize|強調|像講義裡本來有一句話，你又在下面重重劃了一道線。|簡報說明、報告撰寫與風險提醒|underscore the need|報告 / 溝通|underscore the point|會議 / 表達|underscore the risk|安全 / 風險|再劃重線,把重要性壓亮,emphasize,communication,risk,verb,underscore
upheaval|upheaval|noun|up-HEE-vuhl · UK /ʌpˈhiː.vəl/ · US /ʌpˈhiː.vəl/|C2|2.73|a forceful overturning that disrupts the old order|不是普通變動，而是整個地面都像被翻起來。|表示劇烈變動、動亂或大規模重整。|turmoil|動盪|像地層忽然翻動，原本平穩放著的東西全被掀離原位。|組織重整、社會變局與個人轉折|organizational upheaval|組織 / 管理|political upheaval|政治 / 社會|upheaval in the market|商業 / 分析|劇烈翻動,整個秩序被掀起,turmoil,organization,society,noun,upheaval
uphold|uphold|verb|up-HOHLD · UK /ʌpˈhəʊld/ · US /ʌpˈhoʊld/|C1|3.16|keep a standard or decision standing in force|不是嘴上支持，而是讓它真的繼續立著。|表示維護、支持或確認規則、價值與裁決有效。|support|支持|像柱子不是在旁邊鼓掌，而是真的把屋頂撐住。|法務裁決、組織價值與品質標準|uphold the ruling|法務 / 判決|uphold the standard|品質 / 工程|uphold the principle|治理 / 價值|維護使其站住,把標準撐著,support,standards,principles,verb,uphold
vantage|vantage|noun|VAN-tij · UK /ˈvɑːn.tɪdʒ/ · US /ˈvæn.t̬ɪdʒ/|C2|2.56|a position that reveals the field more clearly|不是單純站高，而是站到一個能讓你看懂全局的角度。|表示有利的觀察位置、視角或優勢點。|viewpoint|觀點或視角|像爬上山坡後，同一片地形突然有了路徑和高低之分。|策略判讀、觀察分析與產品規劃|vantage point|觀察 / 分析|from a vantage point|寫作 / 描述|strategic vantage|策略 / 規劃|有利視角,看懂全局的位置,viewpoint,strategy,observation,noun,vantage
wary|wary|adjective|WAIR-ee · UK /ˈweə.ri/ · US /ˈwer.i/|C1|3.22|cautiously alert because risk may be hiding nearby|不是恐懼退縮，而是先保留一步，防著問題突然冒出來。|表示小心提防、保持警覺。|cautious|謹慎小心|像走在薄冰上時，你不是不走，而是每一步都先試承重。|風險評估、陌生合作與安全判斷|wary of promises|商業 / 判斷|wary about scope creep|專案 / 管理|keep a wary eye|安全 / 觀察|小心提防,先保留一步,cautious,risk,judgment,adjective,wary
withstand|withstand|verb|with-STAND · UK /wɪðˈstænd/ · US /wɪðˈstænd/|C1|3.37|endure pressure or force without failing|不是沒受力，而是受了之後還沒垮。|表示承受住壓力、攻擊、熱度或審查而不失效。|endure|承受|像橋面被車流整天壓著，卻仍穩穩留在原位。|材料測試、制度檢驗與評論攻防|withstand pressure|工程 / 測試|withstand scrutiny|公共 / 審視|withstand heat|材料 / 科學|扛住不壞,受壓後仍不倒,endure,testing,scrutiny,verb,withstand
wry|wry|adjective|RYE · UK /raɪ/ · US /raɪ/|C2|2.52|dryly amused with a twist of irony|不是大笑，而是嘴角一偏，心裡知道事情其實沒那麼單純。|表示帶點反諷、苦笑或冷幽默的語氣。|ironic|帶反諷的|像你聽到熟悉的老問題又出現，只先抬一下眉毛，沒有真的驚訝。|寫作口吻、會議回應與人物描寫|wry smile|情緒 / 描寫|wry observation|寫作 / 評論|wry remark|會議 / 人際|苦笑式反諷,乾乾地好笑,ironic,writing,tone,adjective,wry
zealous|zealous|adjective|ZEL-us · UK /ˈzel.əs/ · US /ˈzel.əs/|C1|3.01|intensely eager in support or pursuit|不是普通認真，而是投入到帶點火力和推進感。|表示熱切積極、滿懷幹勁地支持或追求。|eager|熱心|像火把舉得很高，不只照亮自己，也把旁邊的人都捲進節奏。|倡議推動、社群參與與執行力度|zealous advocate|公共 / 倡議|zealous enforcement|法規 / 執行|zealous pursuit|職涯 / 目標|熱切投入,幹勁很強,eager,advocacy,execution,adjective,zealous
