slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
charter|charter|verb|CHAR-ter · UK /ˈtʃɑː.tər/ · US /ˈtʃɑːr.t̬ɚ/|C1|3.25|formally set the mission, scope, or rules of a venture|不是口頭開始，而是把這件事的邊界和方向正式寫清楚。|表示正式批准、規劃或界定某個計畫與組織。|authorize|正式授權|像出海前先把航線畫在圖上，讓大家知道不是隨便漂。|專案啟動、制度規範與組織成立|charter the project|專案 / 管理|charter a committee|組織 / 程序|chartered mission|治理 / 公共|正式立案,訂出邊界,authorize,project,governance,verb,charter
churn|churn|verb|CHURN · UK /tʃɜːn/ · US /tʃɝːn/|C1|3.48|turn things over repeatedly until the state becomes unstable or transformed|不是一次攪動，而是不斷翻攪，讓內容改變性質。|表示反覆攪動，也可指用戶流失、組織翻動或念頭翻滾。|stir|攪動|像水面一直被槳打亂，原本沉著的東西全被捲上來。|用戶留存、組織變動與情緒描寫|customer churn|產品 / 商業|churn through ideas|創作 / 學習|churn the water|物理 / 敘事|反覆翻攪,流失翻動,stir,retention,change,verb,churn
compartmentalize|compartmentalize|verb|kom-part-MEN-tl-ize · UK /kəmˌpɑːtˈmen.təl.aɪz/ · US /kəmˌpɑːrtˈmen.t̬əl.aɪz/|C2|2.51|separate concerns into mental or structural boxes|不是解決衝突，而是先把不同東西分倉，避免它們互相滲漏。|表示把情緒、工作或系統切成彼此分離的區塊來處理。|separate|分開處理|像抽屜櫃把零件分格放好，不然一打開就全混在一起。|情緒調節、架構設計與任務管理|compartmentalize your stress|心理 / 工作|compartmentalize the system|架構 / 工程|compartmentalized thinking|分析 / 認知|分倉處理,切開關注,separate,architecture,stress,verb,compartmentalize
contour|contour|noun|KON-toor · UK /ˈkɒn.tʊər/ · US /ˈkɑːn.tʊr/|C1|3.17|the shaped outline that reveals form and boundary|不是表面花紋，而是把輪廓真正勾出來的線與起伏。|表示外形輪廓、界面起伏或議題的大致形狀。|outline|輪廓|像薄霧裡先看見山的邊線，細節還沒有，形狀已經出來。|視覺設計、地形描述與問題理解|contour of the face|視覺 / 描寫|contour map|地理 / 工程|contours of the problem|分析 / 討論|輪廓,形狀邊線,outline,design,analysis,noun,contour
convene|convene|verb|kuhn-VEEN · UK /kənˈviːn/ · US /kənˈviːn/|C1|3.16|bring people together for a formal shared purpose|不是隨便叫來，而是為了某個明確議題正式集合。|表示召集會議、委員會或一群人一起商議。|gather|聚集|像散在各處的人被一封通知拉回同一張桌子前。|會議安排、公共程序與跨部門協作|convene a meeting|工作 / 組織|convene the panel|研究 / 審查|convene stakeholders|專案 / 協作|召集開會,正式集合,gather,meeting,coordination,verb,convene
curb|curb|verb|KURB · UK /kɜːb/ · US /kɝːb/|B2|4.02|keep growth or impulse within a safer limit|不是消滅，而是壓住它不要繼續往外擴。|表示抑制上升趨勢、衝動或不想擴大的現象。|limit|限制|像火勢還沒大到失控前，先在四周壓出一道防線。|風險控制、成本管理與行為調整|curb inflation|經濟 / 政策|curb spending|財務 / 管理|curb the spread|安全 / 風險|抑制擴大,壓住趨勢,limit,risk,policy,verb,curb
decommission|decommission|verb|dee-kuh-MISH-un · UK /ˌdiː.kəˈmɪʃ.ən/ · US /ˌdiː.kəˈmɪʃ.ən/|C1|2.95|retire a system from active service in an orderly way|不是壞掉淘汰，而是有計畫地把它從服役狀態退下來。|表示正式停用設備、系統或設施。|retire|退役|像機器不是拔掉就算，而是照程序關機、拆線、封存。|舊系統下線、設備退役與基礎設施管理|decommission the server|系統 / 維運|decommission old hardware|硬體 / 工程|decommission the facility|基建 / 管理|正式停用,有序退役,retire,systems,hardware,verb,decommission
derail|derail|verb|dee-RAYL · UK /dɪˈreɪl/ · US /dɪˈreɪl/|C1|3.22|knock a process off its intended track|不是慢下來，而是整件事偏離原本的軌道。|表示使計畫、討論或列車脫軌，中斷原定進程。|disrupt|打亂|像列車一旦離開軌道，速度反而讓失控更嚴重。|專案管理、討論流程與風險事件|derail the plan|專案 / 管理|derail the conversation|會議 / 溝通|derailed by delays|流程 / 風險|脫軌,偏離進程,disrupt,project,conversation,verb,derail
demarcate|demarcate|verb|dee-MAR-kayt · UK /ˈdiː.mɑː.keɪt/ · US /dɪˈmɑːr.keɪt/|C2|2.71|draw a boundary so one area is clearly distinct from another|不是大概分一下，而是把線畫清楚，誰在哪裡一目了然。|表示劃定界線、區分範圍或標出責任邊界。|separate|區隔|像地上拉出標線後，人一走進來就知道哪裡算內、哪裡算外。|責任分工、法規範圍與介面分區|demarcate roles|管理 / 組織|demarcate the area|現場 / 安全|demarcated boundary|法規 / 地理|劃清界線,明確分區,separate,boundary,roles,verb,demarcate
denote|denote|verb|dih-NOHT · UK /dɪˈnəʊt/ · US /dɪˈnoʊt/|C1|3.05|point to a specific meaning or status by sign or word|不是附帶聯想，而是明確表示它指的是什麼。|表示符號、詞語或數值所直接指稱的意思。|indicate|表示|像圖例一出現，整張圖裡那個顏色就有了固定對應。|語義分析、符號說明與文件標記|denote a value|數據 / 文件|denote the status|系統 / 介面|denote meaning|語言 / 編輯|直接指稱,明確表示,indicate,language,notation,verb,denote
deft|deft|adjective|DEFT · UK /deft/ · US /deft/|C2|2.65|skillful in a quick, light, well-judged way|不是只是會，而是手法輕巧、反應快、下手剛好。|表示動作、處理或表達靈巧熟練。|skillful|熟練|像指尖一轉就把纏住的線解開，沒有多餘的力氣。|操作技巧、寫作手感與人際應對|deft touch|設計 / 寫作|deft handling|管理 / 協作|deft response|溝通 / 人際|手法俐落,巧勁熟練,skillful,writing,handling,adjective,deft
dislodge|dislodge|verb|dis-LOJ · UK /dɪsˈlɒdʒ/ · US /dɪsˈlɑːdʒ/|C1|2.96|knock something loose from where it is stuck or entrenched|不是移動一點點，而是把卡住或盤據的東西真正震開。|表示使脫落、逐出，或讓頑固位置鬆動。|remove|移除|像卡住的零件被一記準確的力道終於震鬆。|機械維修、權力結構與習慣改變|dislodge debris|維修 / 工程|dislodge the narrative|評論 / 論述|dislodge an incumbent|政治 / 組織|震鬆拔開,把卡住的東西弄掉,remove,repair,power,verb,dislodge
dispel|dispel|verb|dih-SPEL · UK /dɪˈspel/ · US /dɪˈspel/|C1|3.24|clear away a false impression or heavy mood|不是壓下去，而是把原本籠著的霧氣慢慢散掉。|表示消除疑慮、錯覺、恐懼或陰影感。|clear|清除|像窗一打開，悶氣和霧就一起往外跑。|誤解澄清、風險說明與情緒舒緩|dispel doubts|溝通 / 決策|dispel the myth|教育 / 說明|dispel tension|人際 / 情緒|驅散疑慮,散開霧氣,clear,doubt,communication,verb,dispel
divulge|divulge|verb|dye-VULJ · UK /daɪˈvʌldʒ/ · US /daɪˈvʌldʒ/|C1|2.99|reveal information that was being held back|不是一般分享，而是把原本未公開的內容說出來。|表示洩露、透露或公開本來保留的資訊。|reveal|透露|像緊閉的抽屜終於被拉開一點，裡面的文件露出邊角。|機密處理、媒體報導與協議溝通|divulge details|法務 / 溝通|divulge the plan|專案 / 管理|refuse to divulge|公共 / 媒體|透露未公開資訊,洩露,reveal,confidentiality,media,verb,divulge
dubious|dubious|adjective|DOO-bee-us · UK /ˈdjuː.bi.əs/ · US /ˈduː.bi.əs/|C1|3.29|not trustworthy or convincing enough to rest on|不是單純不知道，而是你對它的可靠性本身有疑問。|表示可疑、站不太住腳或讓人半信半疑。|questionable|值得懷疑|像椅子表面看起來完整，但你坐下前還是會先試探一下。|證據評估、來源判斷與道德評價|dubious claim|研究 / 判斷|dubious source|資訊 / 媒體|dubious benefit|策略 / 評估|可疑,站不穩,questionable,evidence,source,adjective,dubious
elicit|elicit|verb|ih-LIS-it · UK /ɪˈlɪs.ɪt/ · US /ɪˈlɪs.ɪt/|C1|3.13|draw a response out that was latent in the other side|不是自己給答案，而是把對方原本藏著的反應引出來。|表示引出情緒、資訊、回應或效果。|draw|引出|像敲一下鐘面，原本安靜的空氣被震出聲音。|訪談提問、使用者研究與教學互動|elicit feedback|產品 / 研究|elicit a response|溝通 / 互動|elicit curiosity|教學 / 表達|引出回應,把潛在內容帶出來,draw,feedback,interaction,verb,elicit
embolden|embolden|verb|em-BOHL-dn · UK /ɪmˈbəʊl.dən/ · US /ɪmˈboʊl.dən/|C2|2.83|make someone feel bold enough to act|不是替他做，而是讓他敢跨出原本不敢的那一步。|表示使更有膽量、更敢表態或採取行動。|encourage|鼓起膽子|像背後多了一雙手扶著，你終於敢跳過那道縫。|領導鼓勵、社會氣氛與個人表態|embolden the team|管理 / 團隊|embolden dissent|政治 / 社會|embolden users to try|產品 / 體驗|使更敢行動,鼓起膽子,encourage,team,confidence,verb,embolden
encumber|encumber|verb|en-KUM-ber · UK /ɪnˈkʌm.bər/ · US /ɪnˈkʌm.bɚ/|C2|2.56|weigh something down so it moves less freely|不是單純增加，而是加到讓行動和判斷都變笨重。|表示成為負擔、拖累或加上束縛。|burden|成為負擔|像背包一件件塞滿後，人還能走，但每一步都慢了。|流程負擔、法規限制與心智負荷|encumber the workflow|流程 / 管理|encumbered by debt|財務 / 法務|encumber the design|產品 / 設計|加重負擔,拖慢行動,burden,workflow,design,verb,encumber
engender|engender|verb|en-JEN-der · UK /ɪnˈdʒen.dər/ · US /ɪnˈdʒen.dɚ/|C1|2.94|bring a feeling or condition into being over time|不是瞬間製造，而是在互動中慢慢生成某種結果。|表示引起、產生或促成某種情緒與狀態。|create|產生|像一連串小動作堆起來，最後空氣裡真的出現了信任或不安。|團隊文化、公共氣氛與使用者感受|engender trust|團隊 / 協作|engender resentment|人際 / 社會|engender confidence|產品 / 體驗|逐步生成,帶出某種氣氛,create,trust,culture,verb,engender
ensue|ensue|verb|en-SOO · UK /ɪnˈsjuː/ · US /ɪnˈsuː/|C1|3.30|follow as a consequence once the prior thing happens|不是同時發生，而是前面的事一落下，後面的結果接著來。|表示隨後發生，通常是前因帶出的結果。|follow|接著發生|像第一塊骨牌一倒，後面的連鎖開始自己跑。|事件敘述、事故報告與流程說明|chaos ensued|敘事 / 新聞|changes ensue|流程 / 管理|debate ensued|公共 / 會議|隨後發生,前因後果連上,follow,events,process,verb,ensue
erode|erode|verb|ih-ROHD · UK /ɪˈrəʊd/ · US /ɪˈroʊd/|C1|3.33|wear something away little by little|不是一下打碎，而是經年累月把邊緣慢慢磨掉。|表示侵蝕、削弱或逐步破壞原有強度。|wear down|磨損|像海水每天只帶走一點點，但岸線總在變。|信任流失、材料磨耗與制度弱化|erode trust|組織 / 人際|erode the margin|商業 / 財務|erode the surface|材料 / 工程|逐步侵蝕,慢慢磨掉,wear down,trust,materials,verb,erode
evoke|evoke|verb|ih-VOHK · UK /ɪˈvəʊk/ · US /ɪˈvoʊk/|C1|3.59|bring a feeling or image vividly into the mind|不是直接說明，而是讓某種感覺自己在對方腦中浮起來。|表示喚起記憶、情緒、畫面或聯想。|suggest|喚起聯想|像一句話一落下，整段舊場景就自動在腦海亮起。|寫作修辭、設計氣氛與品牌感受|evoke nostalgia|敘事 / 情感|evoke the mood|設計 / 視覺|evoke trust|品牌 / 產品|喚起聯想,把畫面帶回來,suggest,design,emotion,verb,evoke
expunge|expunge|verb|ik-SPUNJ · UK /ɪkˈspʌndʒ/ · US /ɪkˈspʌndʒ/|C2|2.31|remove every trace from the record or memory|不是刪一行，而是把痕跡徹底從紀錄裡抹掉。|表示抹除、除名或正式刪去紀錄。|erase|抹去|像紙上的墨不是劃掉，而是連壓痕都想一起磨平。|法務紀錄、資料治理與歷史修正|expunge the record|法務 / 程序|expunge sensitive data|資料 / 安全|expunge from memory|敘事 / 心理|徹底刪除,抹去紀錄,erase,records,data,verb,expunge
fickle|fickle|adjective|FIK-uhl · UK /ˈfɪk.əl/ · US /ˈfɪk.əl/|C1|3.14|changing preference quickly without stable loyalty|不是有彈性，而是一下這邊一下那邊，很難長久依靠。|表示喜好、情緒或支持反覆無常。|unstable|不穩定|像風向旗一直轉，才剛對準一邊，下一秒又變了。|市場偏好、人際期待與情緒描寫|fickle audience|媒體 / 受眾|fickle loyalty|人際 / 組織|fickle market|商業 / 財務|反覆無常,難以久靠,unstable,market,audience,adjective,fickle
fringe|fringe|noun|FRINJ · UK /frɪndʒ/ · US /frɪndʒ/|C1|3.45|the outer edge where something touches the margin|不是核心，而是靠近邊界、還沒完全進中心的那圈。|表示邊緣地帶、次要群體或外圍部分。|edge|邊緣|像地毯最外圍那一圈鬚邊，還連著整體，但已經接近外面。|文化邊界、產品市場與社群位置|fringe view|評論 / 社會|on the fringe|人際 / 群體|fringe benefit|工作 / 制度|外圍邊緣,不在中心,edge,society,market,noun,fringe
gauge|gauge|verb|GAYJ · UK /ɡeɪdʒ/ · US /ɡeɪdʒ/|B2|4.08|estimate the state or size of something by reading its signs|不是精密算完，而是根據信號先判斷它大概在哪個區間。|表示衡量、估計、判讀規模、程度或溫度。|measure|衡量|像看錶針的角度，就先知道壓力現在大約有多高。|風險判讀、使用者研究與現場判斷|gauge the response|產品 / 研究|gauge the risk|管理 / 決策|gauge the pressure|工程 / 現場|估量判讀,先看信號再判斷,measure,risk,response,verb,gauge
hamstring|hamstring|verb|HAM-string · UK /ˈhæm.strɪŋ/ · US /ˈhæm.strɪŋ/|C2|2.73|cripple an effort by taking away key ability or freedom|不是小小拖慢，而是砍到讓它很難再正常發力。|表示嚴重妨礙、束縛，使能力無法發揮。|cripple|重創使難以前進|像跑者不是慢一點，而是腿後筋一拉傷就整段失速。|預算限制、制度掣肘與系統能力|hamstring the team|管理 / 組織|hamstring innovation|策略 / 產品|hamstrung by rules|法規 / 程序|重創行動力,綁住關鍵能力,cripple,team,innovation,verb,hamstring
harness|harness|verb|HAR-nis · UK /ˈhɑː.nɪs/ · US /ˈhɑːr.nəs/|C1|3.63|capture force and direct it to useful work|不是只是有資源，而是把它接上、收住、用對方向。|表示利用能量、資料、情緒或系統能力為某個目的服務。|use|利用|像風本來亂吹，裝上帆之後才開始推船前進。|能源利用、資料應用與團隊動能|harness the data|資料 / 分析|harness solar power|能源 / 工程|harness momentum|產品 / 團隊|善用力量,把能量接上,use,data,energy,verb,harness
impart|impart|verb|im-PART · UK /ɪmˈpɑːt/ · US /ɪmˈpɑːrt/|C1|3.28|pass knowledge, quality, or value into someone else|不是丟資訊過去，而是把某種理解或性質真正傳進對方身上。|表示傳授、賦予或注入某種特質與知識。|give|給予|像把火種遞過去，不只是讓對方看見，而是讓他也能點亮。|教學傳承、材料處理與品牌體驗|impart knowledge|教學 / 學習|impart flavor|料理 / 日常|impart confidence|領導 / 團隊|傳授注入,把東西傳進去,give,teaching,quality,verb,impart
inculcate|inculcate|verb|IN-kul-kayt · UK /ˈɪn.kʌl.keɪt/ · US /ˈɪn.kʌl.keɪt/|C2|2.47|instill an idea by repeated teaching and reinforcement|不是說一次，而是反覆灌溉到它變成習慣性反應。|表示反覆灌輸觀念、價值或習慣。|instill|灌輸|像水一天天滲進土裡，久了根就長在那個方向。|教育訓練、團隊文化與習慣養成|inculcate discipline|教育 / 成長|inculcate the habit|學習 / 生活|inculcate values|組織 / 文化|反覆灌輸,養成內化,instill,discipline,culture,verb,inculcate
insulate|insulate|verb|IN-suh-layt · UK /ˈɪn.sjə.leɪt/ · US /ˈɪn.sə.leɪt/|C1|3.61|shield something so outside force has less effect on it|不是隔絕一切，而是加上一層讓外面的熱、噪音或波動不那麼直打進來。|表示隔熱、絕緣，或保護某事不受外界影響。|protect|保護|像牆裡多了一層棉，外面的風還在，但屋內安靜很多。|電氣安全、風險隔離與決策保護|insulate the wire|工程 / 電氣|insulate the team from noise|管理 / 組織|insulate against risk|財務 / 決策|隔離保護,加一層緩衝,protect,electrical,risk,verb,insulate
jettison|jettison|verb|JET-uh-sun · UK /ˈdʒet.ɪ.sən/ · US /ˈdʒet.ɪ.sən/|C2|2.65|throw off weight or baggage to keep moving|不是整理收好，而是為了生存或速度，直接把累贅丟掉。|表示拋棄不再需要的東西、想法或負擔。|discard|丟棄|像熱氣球為了拉高高度，先把多餘沙袋一袋袋丟下去。|產品精簡、危機決策與舊包袱處理|jettison the legacy code|工程 / 維護|jettison old assumptions|學習 / 分析|jettison the cargo|運輸 / 敘事|拋掉負重,甩開包袱,discard,legacy,decision,verb,jettison
juxtapose|juxtapose|verb|juhk-stuh-POHZ · UK /ˌdʒʌk.stəˈpəʊz/ · US /ˌdʒʌk.stəˈpoʊz/|C2|2.88|place two things side by side so the contrast becomes visible|不是同時提到，而是故意並排，讓差異自己發光。|表示把兩個事物並置比較，以突顯關係或反差。|compare|對照|像兩塊布放在同一束光下，顏色的細微差立刻跑出來。|寫作分析、設計對照與資料比較|juxtapose two views|寫作 / 評論|juxtapose old and new|設計 / 展示|juxtapose the results|分析 / 研究|並置對照,放在一起看差異,compare,design,analysis,verb,juxtapose
mediate|mediate|verb|MEE-dee-ayt · UK /ˈmiː.di.eɪt/ · US /ˈmiː.di.eɪt/|C1|3.57|work between sides to ease conflict and move them forward|不是替一方贏，而是讓雙方能重新說話。|表示調停衝突、在中間協助兩方找到可走的路。|negotiate|協調|像兩岸之間架一座臨時橋，先讓人能重新走過去。|團隊衝突、公共爭議與跨部門協作|mediate the conflict|人際 / 管理|mediate between parties|法務 / 公共|mediate the discussion|會議 / 溝通|調停衝突,在中間搭橋,negotiate,conflict,collaboration,verb,mediate
placate|placate|verb|PLAY-kayt · UK /pləˈkeɪt/ · US /ˈpleɪ.keɪt/|C2|2.76|calm anger by giving reassurance or concession|不是真正解決根因，而是先讓怒氣降下來。|表示安撫、平息憤怒或不滿，常帶有策略性。|appease|安撫平息|像火苗還在，但先拿一層濕布蓋住最旺的那一面。|危機溝通、客訴應對與政治協商|placate customers|服務 / 支援|placate the critics|公共 / 媒體|placate the crowd|現場 / 社會|平息怒氣,策略性安撫,appease,customer,criticism,verb,placate
preclude|preclude|verb|prih-KLOOD · UK /prɪˈkluːd/ · US /prɪˈkluːd/|C1|3.11|make something impossible before it can happen|不是事後否決，而是前提一成立，後面那條路就直接被封掉。|表示阻止、排除或使某結果無法發生。|prevent|阻止|像門還沒推開，就發現門框前早已焊上一道橫桿。|條件限制、法規排除與決策邊界|preclude recovery|風險 / 醫療|preclude the option|策略 / 決策|preclude further debate|程序 / 會議|先天排除,讓後路走不通,prevent,decision,constraint,verb,preclude
relegate|relegate|verb|REL-uh-gayt · UK /ˈrel.ɪ.ɡeɪt/ · US /ˈrel.ə.ɡeɪt/|C1|3.04|push something down to a lower rank or less visible place|不是刪掉，而是把它移到比較次要、比較後面的位置。|表示降級、打入邊緣或轉放到較不重要的區域。|demote|降到次位|像文件還在，但被塞到最底層抽屜，平常幾乎不會再被看見。|優先級排序、資訊層級與制度地位|relegate to the background|設計 / 視覺|relegate the task|管理 / 專案|relegated to a footnote|寫作 / 評論|降到次位,推到邊邊,demote,priority,visibility,verb,relegate
reverberate|reverberate|verb|rih-VUR-ber-ayt · UK /rɪˈvɜː.bər.eɪt/ · US /rɪˈvɝː.bɚ.eɪt/|C2|2.52|echo outward so the effect keeps returning|不是只響一下，而是聲音或影響在空間裡一波波回來。|表示回響、餘震，或某事件的影響持續擴散。|echo|迴響|像敲鐘後不是立刻安靜，而是牆面一直把聲音送回來。|聲音效果、公共事件與情緒後座力|reverberate through the market|市場 / 事件|reverberate in memory|敘事 / 心理|reverberating sound|聲學 / 工程|餘波回響,一波波返回,echo,sound,impact,verb,reverberate
substantiate|substantiate|verb|sub-STAN-shee-ayt · UK /səbˈstæn.ʃi.eɪt/ · US /səbˈstæn.ʃi.eɪt/|C2|2.79|support a claim with enough evidence to make it stand|不是講得像真的，而是拿出材料把它撐起來。|表示用證據、數據或細節證實某項主張。|verify|證實|像桌腳本來晃，墊上真正合適的木塊後才穩穩站住。|研究佐證、品質檢查與爭議說明|substantiate the claim|研究 / 分析|substantiate the report|法務 / 程序|substantiate with data|工程 / 驗證|拿證據撐住,證實主張,verify,evidence,validation,verb,substantiate
throttle|throttle|verb|THRAHT-l · UK /ˈθrɒt.əl/ · US /ˈθrɑː.t̬əl/|C1|3.43|control speed or throughput by tightening the flow|不是完全關掉，而是把流量壓小，讓系統別一下子衝太快。|表示節流、限制速度、頻寬或資源輸出。|limit|節制|像水管閥門不是關死，而是旋到只讓剛好需要的水量通過。|系統負載、API 配額與車速控制|throttle requests|系統 / API|throttle the engine|機械 / 車輛|throttle network traffic|網路 / 維運|節流控速,壓小流量,limit,api,network,verb,throttle
